signal_date,execution_date,symbol,relative_weight,rank,in_risk,path_label
2023-11-29,2023-11-30,002594,0.09168473050463007,1,False,B2
2023-11-29,2023-11-30,688041,0.05002415667990645,2,False,B2
2023-11-29,2023-11-30,002142,0.1426141937493573,3,False,B2
2023-11-29,2023-11-30,688271,0.10919180144615419,4,False,B2
2023-11-29,2023-11-30,300351,0.02752407111908799,5,False,B2
2023-12-01,2023-12-04,600036,0.1647621267631059,1,False,B2
2023-12-01,2023-12-04,600519,0.2,2,False,B2
2023-12-01,2023-12-04,002728,0.04079798723125021,3,False,B2
2023-12-01,2023-12-04,688271,0.10137008763992242,4,False,B2
2023-12-01,2023-12-04,002594,0.09691806642959577,5,False,B2
2023-12-05,2023-12-06,600519,0.17513747419519812,1,True,B2
2023-12-05,2023-12-06,002142,0.11666583559405487,2,True,B2
2023-12-05,2023-12-06,688271,0.10463198758366188,3,True,B2
2023-12-05,2023-12-06,688041,0.052639737368868296,4,True,B2
2023-12-05,2023-12-06,300760,0.13208635403878435,5,True,B2
2023-12-06,2023-12-07,300750,0.11627210228055768,1,True,B2
2023-12-06,2023-12-07,688041,0.05111902962237456,2,True,B2
2023-12-06,2023-12-07,300760,0.1247103808422483,3,True,B2
2023-12-06,2023-12-07,601398,0.2,4,True,B2
2023-12-06,2023-12-07,688271,0.0949605263981056,5,True,B2
2023-12-07,2023-12-08,688041,0.05466651877482694,1,True,B2
2023-12-07,2023-12-08,688271,0.08875073847056174,2,True,B2
2023-12-07,2023-12-08,300124,0.08720263127981656,3,True,B2
2023-12-07,2023-12-08,600133,0.03689209623342292,4,True,B2
2023-12-07,2023-12-08,300760,0.12553162925690564,5,True,B2
2023-12-08,2023-12-11,688041,0.044665100672565995,1,True,B2
2023-12-08,2023-12-11,688271,0.08780629301330063,2,True,B2
2023-12-08,2023-12-11,600028,0.15210270989547953,3,True,B2
2023-12-08,2023-12-11,002415,0.13512285486353814,4,True,B2
2023-12-08,2023-12-11,300760,0.0965947535987154,5,True,B2
2023-12-11,2023-12-12,600028,0.1462775731584467,1,True,B2
2023-12-11,2023-12-12,002415,0.09491470894442665,2,True,B2
2023-12-11,2023-12-12,688041,0.04456772801207465,3,True,B2
2023-12-11,2023-12-12,000100,0.1454182535432744,4,True,B2
2023-12-11,2023-12-12,000858,0.14592783145763008,5,True,B2
2023-12-12,2023-12-13,601398,0.2,1,True,B2
2023-12-12,2023-12-13,601288,0.18428853072051626,2,True,B2
2023-12-12,2023-12-13,002602,0.09589709956599024,3,True,B2
2023-12-12,2023-12-13,601328,0.18408236946017664,4,True,B2
2023-12-12,2023-12-13,002415,0.09741722369591889,5,True,B2
2023-12-13,2023-12-14,601398,0.2,1,True,B2
2023-12-13,2023-12-14,002558,0.05858527672608506,2,True,B2
2023-12-13,2023-12-14,000568,0.08393336056895263,3,True,B2
2023-12-13,2023-12-14,600938,0.11536831349463388,4,True,B2
2023-12-13,2023-12-14,600519,0.14686994280979754,5,True,B2
2023-12-14,2023-12-15,600519,0.143379709968741,1,True,B2
2023-12-14,2023-12-15,000568,0.08222238003578282,2,True,B2
2023-12-14,2023-12-15,600809,0.07907546501556513,3,True,B2
2023-12-14,2023-12-15,601456,0.10746721327994055,4,True,B2
