factor,rebalance_frequency,signal_time,execution_time,exit_execution_time,t_plus_1_execution,long_names,synthetic_short_names,missing_long_open_prices,missing_short_open_prices,long_turnover,synthetic_short_turnover,gross_long_return,gross_short_underlying_return,gross_synthetic_spread_return,BASE_7P5_10_net_long_return,BASE_7P5_10_net_synthetic_spread_return,CONSERVATIVE_15_25_net_long_return,CONSERVATIVE_15_25_net_synthetic_spread_return,CONSERVATIVE_15_50_net_long_return,CONSERVATIVE_15_50_net_synthetic_spread_return,EXTREME_30_100_net_long_return,EXTREME_30_100_net_synthetic_spread_return,EXTREME_50_100_net_long_return,EXTREME_50_100_net_synthetic_spread_return
volatility,DAILY,2025-08-11T15:30:00+08:00,2025-08-12T09:30:00+08:00,2025-08-13T09:30:00+08:00,True,37,37,0,0,1.0,1.0,0.005439398004841398,-0.013034106563611784,0.018473504568453182,0.003689398004841398,0.014973504568453182,0.0014393980048413978,0.010473504568453182,-0.0010606019951586027,0.005473504568453181,-0.007560601995158603,-0.00752649543154682,-0.009560601995158602,-0.011526495431546817
volatility,DAILY,2025-08-12T15:30:00+08:00,2025-08-13T09:30:00+08:00,2025-08-14T09:30:00+08:00,True,85,85,0,0,0.5647058823529401,0.7529411764705868,0.004364305036976119,0.010506865309201965,-0.006142560272225846,0.003376069742858474,-0.00844844262516702,0.002105481507564359,-0.011413148507519955,0.0006937168016820081,-0.014707266154578772,-0.0029768714336121027,-0.023271972036931696,-0.004106283198317982,-0.02590726615457875
volatility,DAILY,2025-08-13T15:30:00+08:00,2025-08-14T09:30:00+08:00,2025-08-15T09:30:00+08:00,True,84,84,0,0,0.08235294117647057,0.07058823529411762,-0.013727969291548287,-0.023590410467676865,0.009862441176128578,-0.013872086938607111,0.00959479411730505,-0.014057381056254169,0.009250676470246225,-0.014263263409195346,0.008868323529069754,-0.014798557526842403,0.007874205882010932,-0.014963263409195345,0.007568323529069755
volatility,DAILY,2025-08-14T15:30:00+08:00,2025-08-15T09:30:00+08:00,2025-08-18T09:30:00+08:00,True,86,86,29,62,0.046511627906976716,0.06976744186046499,0.02203064238720533,0.022400107613103834,-0.00036946522589850414,0.02194924703836812,-0.0005729535979915271,0.021844595875577424,-0.000834581504968271,0.021728316805809982,-0.0011252791793868754,0.02142599122441463,-0.0018810931328752465,0.02133296796860068,-0.0021136512724101294
volatility,DAILY,2025-08-15T15:30:00+08:00,2025-08-18T09:30:00+08:00,2025-08-19T09:30:00+08:00,True,86,86,32,63,0.08139534883720928,0.046511627906976744,0.006489242633348851,0.023354492699124808,-0.016865250065775956,0.006346800772883735,-0.017089087275078282,0.006163661238000014,-0.0173768779727527,0.005960172865906991,-0.017696645414613164,0.00543110309846513,-0.018528040763450375,0.005268312400790712,-0.018783854716938747
volatility,DAILY,2025-08-18T15:30:00+08:00,2025-08-19T09:30:00+08:00,2025-08-20T09:30:00+08:00,True,35,35,1,1,0.6046511627906982,0.7441860465116278,-0.001706486672968345,-0.005997354491811468,0.004290867818843123,-0.002764626207852067,0.0019304027025640524,-0.004125091324131138,-0.001104481018366181,-0.005636719231107884,-0.004476574041621997,-0.009566951789247422,-0.013244015902087118,-0.010776254114828817,-0.015941690320691766
volatility,DAILY,2025-08-19T15:30:00+08:00,2025-08-20T09:30:00+08:00,2025-08-21T09:30:00+08:00,True,83,83,1,0,0.6024096385542166,0.7590361445783119,0.01360005284918156,0.011718356059449653,0.001881696789731907,0.01254583598171168,-0.0005008333307500177,0.011190414294964694,-0.0035640863427982067,0.00968439019857915,-0.006967700800629528,0.005768727547976743,-0.015817098390990963,0.004563908270868311,-0.018539989957256017
volatility,DAILY,2025-08-20T15:30:00+08:00,2025-08-21T09:30:00+08:00,2025-08-22T09:30:00+08:00,True,84,84,0,0,0.11904761904761907,0.0714285714285714,0.0035393278178384524,-0.012354169347675274,0.015893497165513727,0.003330994484505119,0.015560163832180394,0.003063137341647976,0.015131592403608965,0.0027655182940289286,0.01465540192741849,0.0019917087702194043,0.013417306689323252,0.0017536135321241666,0.01303635430837087
volatility,DAILY,2025-08-21T15:30:00+08:00,2025-08-22T09:30:00+08:00,2025-08-25T09:30:00+08:00,True,86,86,0,0,0.06976744186046499,0.09302325581395333,0.005273425591078928,0.022155085534253792,-0.016881659943174865,0.005151332567823114,-0.017166543664105097,0.004994355823637068,-0.01753282273387254,0.004819937218985906,-0.017939799478058585,0.004366448846892883,-0.018997939012942305,0.004226913963171953,-0.01932352040829114
volatility,DAILY,2025-08-22T15:30:00+08:00,2025-08-25T09:30:00+08:00,2025-08-26T09:30:00+08:00,True,86,86,0,0,0.09302325581395346,0.05813953488372092,0.007924758051934993,0.002563475606921252,0.005361282445013741,0.007761967354260575,0.005096747561292811,0.00755266502867918,0.004756631282223043,0.007320106889144295,0.004378724305478858,0.006715455726353598,0.003396166165943974,0.006529409214725691,0.0030938405845486257
