strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-15,002832,比音勒芬,BUY,22.11,0,3100,3100,3100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-15,300702,天宇股份,BUY,21.9,0,3100,3100,3100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-07-15,688221,前沿生物-U,BUY,25.28,0,2700,2700,2700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-15,000001,平安银行,BUY,10.84,0,6400,6400,6400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-15,000002,万科Ａ,BUY,3.13,0,22300,22300,22300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-15,000011,深物业A,BUY,6.44,0,10800,10800,10800,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-15,000016,深康佳Ａ,BUY,2.6,0,26900,26900,26900,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-07-15,000019,深粮控股,BUY,6.11,0,11400,11400,11400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-07-15,300759,康龙化成,BUY,40.3,0,4300,4300,4300,0.0,0.35,0.35,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-07-15,601995,中金公司,BUY,38.34,0,4500,4500,4500,0.0,0.35,0.35,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-07-15,000725,京东方Ａ,BUY,6.38,0,7800,7800,7800,0.0,0.1,0.1,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-07-15,600584,长电科技,BUY,92.46,0,500,500,500,0.0,0.1,0.1,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
