symbol,name,trade_date,score,base_score,penalty,trigger_today,is_breakout,breakout_dist,vol_ratio,rs20,contraction,avg_amount20,bull_align,bias_ma20,chip_healthy,s_trend,s_bull_align,s_breakout,s_volume,s_vol_mild,s_rs,s_contraction,s_bias,s_chip,s_liquidity,buy_point_close,close_price,is_limit_up,price_change_ratio,opt_score
000738,航发控制,2026-02-13,80.10376998542142,80.10376998542142,0.0,1,1,0.026132404181184565,1.5452654203914442,0.3532168002046787,0.7906736107842643,1954909.1864999998,1,0.13435020414451881,1,100.0,100.0,97.0873786407767,94.1747572815534,94.34182245106948,99.02912621359224,60.19417475728155,0.0,100.0,27.66990291262136,25.86,29.45,0,13.882443928847641,7.949999999999999
002008,大族激光,2026-02-13,77.62365784024327,77.62365784024327,0.0,1,1,0.014708620368646397,1.7131325096212484,0.13268894910323858,0.8242534290115571,1847937.4428000003,1,0.08646897582855706,1,100.0,100.0,95.14563106796116,98.05825242718447,73.35843629734396,87.37864077669903,58.25242718446602,0.0,100.0,26.79611650485437,54.5,54.5,0,0.0,7.85
002812,恩捷股份,2026-02-13,75.18749466922007,75.18749466922007,0.0,1,1,0.04301423027166873,1.0889552445236246,0.1549156321510481,0.7437828718769617,1722548.2726,1,0.19497554468652734,1,100.0,100.0,98.05825242718447,69.90291262135922,48.61940556545308,90.29126213592234,67.96116504854368,0.0,100.0,26.504854368932037,52.22,64.5,0,23.51589429337419,4.05
