symbol,name,trade_date,score,base_score,penalty,trigger_today,is_breakout,breakout_dist,vol_ratio,rs20,contraction,avg_amount20,bull_align,bias_ma20,chip_healthy,s_trend,s_bull_align,s_breakout,s_volume,s_vol_mild,s_rs,s_contraction,s_bias,s_chip,s_liquidity,buy_point_close,close_price,is_limit_up,price_change_ratio,opt_score
002837,英维克,2026-02-13,74.65753794622594,74.65753794622594,0.0,1,1,0.015710566478139842,1.4917017640024697,0.07934787442470914,1.131857725865096,5275483.1369,1,0.10417652770932673,1,100.0,100.0,96.11650485436894,92.23300970873787,98.9627205003087,80.58252427184466,28.155339805825236,0.0,100.0,30.0,106.99,113.14,0,5.748200766426774,4.15
601890,亚星锚链,2026-02-13,73.50546758250604,73.50546758250604,0.0,1,1,0.0792682926829269,1.7057026000036462,0.13824820102276436,1.3912274480248712,482181.5897999999,1,0.12718340611353707,1,100.0,100.0,100.0,97.0873786407767,74.28717499954422,88.3495145631068,13.59223300970875,0.0,100.0,19.22330097087379,11.22,12.39,1,10.427807486631014,8.299999999999999
002655,共达电声,2026-02-13,70.22052692564348,70.22052692564348,0.0,1,1,0.043068640646029666,1.1751733462937457,0.15575580024021396,1.3514678254377173,304758.82424999995,1,0.16624656709679853,1,100.0,100.0,99.02912621359224,74.75728155339806,59.39666828671821,91.2621359223301,16.504854368932044,0.0,100.0,14.854368932038835,15.5,15.5,0,0.0,4.8
300008,天海防务,2026-02-13,68.91967724359424,68.91967724359424,0.0,0,0,-0.005399568034557101,1.6189771726403754,0.061854229615860845,0.4997642429233851,1388071.3032000002,1,0.05819497903142401,1,100.0,100.0,47.57281553398058,95.14563106796116,85.12785341995307,76.69902912621359,88.3495145631068,0.0,100.0,25.922330097087375,8.99,9.21,0,2.447163515016692,4.6
300741,华宝股份,2026-02-13,68.43162882069778,68.43162882069778,0.0,0,0,-0.04405063291139244,1.2238650153931643,0.007054031442983888,0.420338452195992,69656.8664,1,0.0016180800551739427,1,100.0,100.0,47.57281553398058,80.58252427184466,65.48312692414552,54.36893203883495,90.29126213592232,96.76383988965212,100.0,3.495145631067961,19.18,18.88,0,-1.5641293013555824,3.4499999999999997
688017,绿的谐波,2026-02-13,67.36887032388448,67.36887032388448,0.0,1,1,0.0016530291759648819,1.228142996815731,0.07627760084892388,0.3962052212734479,2118239.0968,1,0.1029354884214071,1,100.0,100.0,47.57281553398058,81.55339805825243,66.01787460196637,79.6116504854369,91.2621359223301,0.0,100.0,27.961165048543688,226.12,242.38,0,7.190872103307974,7.4
688316,青云科技-U,2026-02-13,66.99545817742958,66.99545817742958,0.0,0,0,-0.0729971533143553,1.1806450335441714,0.3564736893700613,0.6246454078513932,522937.43455,1,0.1828501005383667,1,100.0,100.0,47.57281553398058,75.72815533980582,60.080629193021416,100.0,80.58252427184466,0.0,100.0,19.80582524271845,79.41,91.18,0,14.821810855056054,7.449999999999999
600872,中炬高新,2026-02-13,65.5474442620999,65.5474442620999,0.0,0,0,-0.0224425887265135,1.3984050549695404,0.014147136259987647,0.7084047198753626,203358.8158,1,0.0303947187457021,1,100.0,100.0,47.57281553398058,88.3495145631068,87.30063187119255,58.252427184466015,70.873786407767,39.2105625085958,100.0,11.650485436893202,18.31,18.73,0,2.2938285090114787,7.300000000000001
600579,中化装备,2026-02-13,64.20101908717251,64.20101908717251,0.0,0,0,-0.030818278427205192,1.0670271162394513,0.006393948366109958,0.3809221380563301,79793.25,1,0.01728945900725032,1,100.0,100.0,47.57281553398058,67.96116504854369,45.87838952993142,53.398058252427184,93.20388349514563,65.42108198549937,100.0,4.368932038834951,9.17,9.12,0,-0.5452562704471179,2.75
603048,浙江黎明,2026-02-13,61.61268270545527,61.61268270545527,0.0,1,1,0.002564102564102555,1.4576797749397885,0.053689236759215886,0.9795472806305173,44229.67525,1,0.04938271604938271,1,100.0,100.0,47.57281553398058,90.29126213592234,94.70997186747357,73.7864077669903,44.66019417475729,1.2345679012345734,100.0,1.1650485436893203,22.95,23.46,0,2.2222222222222294,7.8
