trade_date,returncode,elapsed_seconds,industry_updated,model_rows_cleared,rule_bs_updated,score_rows,empty_industry_rows,null_score_rows,null_liquidity_rows,null_bs_v2_rows,null_consensus_rows,model_field_rows,score_log,status,error
2025-01-03,0,73.808,0,5080,5080,5080,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250103.log,PASS,
2025-01-06,0,72.161,0,5080,5080,5080,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250106.log,PASS,
2025-01-07,0,72.466,0,5082,5082,5082,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250107.log,PASS,
2025-01-08,0,73.424,0,5082,5082,5082,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250108.log,PASS,
2025-01-09,0,73.869,0,5083,5083,5083,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250109.log,PASS,
2025-01-10,0,72.923,0,5084,5084,5084,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250110.log,PASS,
2025-01-13,0,72.295,0,5084,5084,5084,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250113.log,PASS,
2025-01-14,0,72.307,0,5087,5087,5087,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250114.log,PASS,
2025-01-15,0,71.073,0,5089,5089,5089,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250115.log,PASS,
2025-01-16,0,70.992,0,5089,5089,5089,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250116.log,PASS,
2025-01-17,0,71.171,0,5089,5089,5089,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250117.log,PASS,
2025-01-20,0,71.436,0,5088,5088,5088,0,0,0,0,0,0,/Volumes/extension/projects/Chenyiyun2087/exports/score_backfill/20260601_163931_2025_full/logs/score_rank_20250120.log,PASS,
