order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
304,2025-03-05,1,2025-03-04,603501,SELL,HOLD_EXPIRY,142.24,143.1336,400,57253.44,357.44,42.94008,0.0,0.0,42.94008,57210.5,154531.49,211741.99,400,0,226034.0,169138.0,380565.49,380879.99,True,0.6,c0.00075_s0.0
305,2025-03-05,2,2025-03-04,300035,BUY,TARGET_REBALANCE,17.79,18.3844,3200,58830.08,1902.08,44.12256,0.0,0.0,44.12256,-58874.2,211741.99,152867.79,0,3200,169138.0,226066.0,380879.99,378933.79,True,0.6,c0.00075_s0.0
306,2025-03-06,1,2025-03-05,300251,SELL,HOLD_EXPIRY,23.4,23.9404,1000,23940.4,540.4,17.9553,0.0,0.0,17.9553,23922.44,152867.79,176790.23,1000,0,228871.0,205471.0,381738.79,382261.23,True,0.6,c0.00075_s0.0
307,2025-03-06,2,2025-03-05,300718,SELL,HOLD_EXPIRY,107.3,108.2232,300,32466.96,276.96,24.35022,0.0,0.0,24.35022,32442.61,176790.23,209232.84,300,0,205471.0,173281.0,382261.23,382513.84,True,0.6,c0.00075_s0.0
308,2025-03-06,3,2025-03-05,300458,BUY,TARGET_REBALANCE,63.04,99.2953,200,19859.06,7251.06,14.894295,0.0,0.0,14.894295,-19873.95,209232.84,189358.89,0,200,173281.0,185889.0,382513.84,375247.89,True,0.6,c0.00075_s0.0
309,2025-03-06,4,2025-03-05,300476,BUY,TARGET_REBALANCE,58.4,59.0155,500,29507.75,307.75,22.130813,0.0,0.0,22.130813,-29529.88,189358.89,159829.01,0,500,185889.0,215089.0,375247.89,374918.01,True,0.6,c0.00075_s0.0
310,2025-03-07,1,2025-03-06,600498,SELL,HOLD_EXPIRY,25.9,26.1327,2000,52265.4,465.4,39.19905,0.0,0.0,39.19905,52226.2,159829.01,212055.21,2000,0,213324.0,161524.0,373153.01,373579.21,True,0.6,c0.00075_s0.0
311,2025-03-07,2,2025-03-06,688521,BUY,TARGET_REBALANCE,94.86,94.86,600,56916.0,0.0,42.687,0.0,0.0,42.687,-56958.69,212055.21,155096.52,0,600,161524.0,218440.0,373579.21,373536.52,True,0.6,c0.00075_s0.0
312,2025-03-17,1,2025-03-14,688525,SELL,HOLD_EXPIRY,77.5,77.5465,900,69791.85,41.85,52.343887,0.0,0.0,52.343887,69739.51,155096.52,224836.03,900,0,230195.0,160445.0,385291.52,385281.03,True,0.6,c0.00075_s0.0
313,2025-03-17,2,2025-03-14,002155,BUY,TARGET_REBALANCE,23.81,31.654,2100,66473.4,16472.4,49.85505,0.0,0.0,49.85505,-66523.26,224836.03,158312.77,0,2100,160445.0,210446.0,385281.03,368758.77,True,0.6,c0.00075_s0.0
314,2025-03-19,1,2025-03-18,300035,SELL,HOLD_EXPIRY,17.85,18.4464,3200,59028.48,1908.48,44.27136,0.0,0.0,44.27136,58984.21,158312.77,217296.98,3200,0,222930.0,165810.0,381242.77,383106.98,True,0.6,c0.00075_s0.0
315,2025-03-19,2,2025-03-18,601899,BUY,TARGET_REBALANCE,17.78,18.1784,2900,52717.36,1155.36,39.53802,0.0,0.0,39.53802,-52756.9,217296.98,164540.08,0,2900,165810.0,217372.0,383106.98,381912.08,True,0.6,c0.00075_s0.0
316,2025-03-20,1,2025-03-19,300458,SELL,HOLD_EXPIRY,58.5,92.1443,200,18428.86,6728.86,13.821645,0.0,0.0,13.821645,18415.04,164540.08,182955.12,200,0,214269.0,202569.0,378809.08,385524.12,True,0.6,c0.00075_s0.0
317,2025-03-20,2,2025-03-19,300476,SELL,HOLD_EXPIRY,85.68,86.583,400,34633.2,361.2,25.9749,0.0,0.0,25.9749,34607.23,182955.12,217562.34,500,100,202569.0,168297.0,385524.12,385859.34,True,0.6,c0.00075_s0.0
318,2025-03-20,3,2025-03-19,000333,BUY,TARGET_REBALANCE,76.4,80.5951,600,48357.06,2517.06,36.267795,0.0,0.0,36.267795,-48393.33,217562.34,169169.02,0,600,168297.0,214137.0,385859.34,383306.02,True,0.6,c0.00075_s0.0
319,2025-03-21,1,2025-03-20,688521,SELL,HOLD_EXPIRY,96.79,96.79,600,58074.0,0.0,43.5555,0.0,0.0,43.5555,58030.44,169169.02,227199.46,600,0,214566.0,156492.0,383735.02,383691.46,True,0.6,c0.00075_s0.0
320,2025-03-21,2,2025-03-20,300100,BUY,TARGET_REBALANCE,66.3,93.1377,300,27941.31,8051.31,20.955982,0.0,0.0,20.955982,-27962.27,227199.46,199237.19,0,300,156492.0,176382.0,383691.46,375619.19,True,0.6,c0.00075_s0.0
321,2025-03-21,3,2025-03-20,300476,BUY,TARGET_REBALANCE,84.0,84.8853,300,25465.59,265.59,19.099193,0.0,0.0,19.099193,-25484.69,199237.19,173752.51,100,400,176382.0,201582.0,375619.19,375334.51,True,0.6,c0.00075_s0.0
322,2025-03-24,1,2025-03-21,300476,SELL,HOLD_EXPIRY,85.95,86.8558,400,34742.32,362.32,26.05674,0.0,0.0,26.05674,34716.26,173752.51,208468.77,400,0,200449.0,166069.0,374201.51,374537.77,True,0.6,c0.00075_s0.0
323,2025-03-24,2,2025-03-21,002553,BUY,TARGET_REBALANCE,25.88,26.148,1800,47066.4,482.4,35.2998,0.0,0.0,35.2998,-47101.7,208468.77,161367.07,0,1800,166069.0,212653.0,374537.77,374020.07,True,0.6,c0.00075_s0.0
324,2025-03-31,1,2025-03-28,002155,SELL,HOLD_EXPIRY,23.35,31.0424,2100,65189.04,16154.04,48.89178,0.0,0.0,48.89178,65140.15,161367.07,226507.22,2100,0,202688.0,153653.0,364055.07,380160.22,True,0.6,c0.00075_s0.0
325,2025-03-31,2,2025-03-28,000737,BUY,TARGET_REBALANCE,10.76,10.8627,6400,69521.28,657.28,52.14096,0.0,0.0,52.14096,-69573.42,226507.22,156933.8,0,6400,153653.0,222517.0,380160.22,379450.8,True,0.6,c0.00075_s0.0
326,2025-04-02,1,2025-04-01,601899,SELL,HOLD_EXPIRY,17.76,18.1579,2900,52657.91,1153.91,39.493433,0.0,0.0,39.493433,52618.42,156933.8,209552.21,2900,0,217903.0,166399.0,374836.8,375951.21,True,0.6,c0.00075_s0.0
