strategy,total_return,annualized_return,max_drawdown,avg_gross_exposure,worst_20d_return,soft_reduce_days,hard_reduce_days,recovery_days,sample_count_fail_days,pattern_veto_days,top_industry_veto_days,benign_recovered_days,dangerous_recovered_days,borderline_recovered_days,reduce_days,false_positive_reduce_days
production_governed_vol_position,0.19010526000730388,0.07391910407626345,-0.24810418157264214,0.5563047881430155,-0.16760272265364218,0,0,0,0,0,0,0,0,0,366,132
production_governed_vol_position_v1_2b_dynamic_score,0.5600586362991933,0.19988789083553682,-0.25516812512420484,0.5664079197172437,-0.16823594586783897,0,31,59,55,0,0,0,0,0,366,122
production_governed_vol_position_v1_2b_dynamic_score_pattern_veto,0.5600586362991933,0.19988789083553682,-0.25516812512420484,0.5664079197172437,-0.16823594586783897,0,31,59,55,0,0,0,0,0,366,122
production_governed_vol_position_v1_2b_fp_classified,0.24635933240351449,0.09443610809775138,-0.24810418157264214,0.5569659012771602,-0.1382758139327398,0,35,8,55,0,0,8,0,0,366,134
production_governed_vol_position_v1_2b_fp_classified_pattern_veto,0.24635933240351449,0.09443610809775138,-0.24810418157264214,0.5569659012771602,-0.1382758139327398,0,35,8,55,0,0,8,0,0,366,134
production_governed_vol_position_v1_2b_gate_tuned,0.5600586362991933,0.19988789083553682,-0.25516812512420484,0.5664079197172437,-0.16823594586783897,0,31,59,55,0,0,0,0,0,366,122
production_governed_vol_position_v1_2b_gate_tuned_pattern_veto,0.5600586362991933,0.19988789083553682,-0.25516812512420484,0.5664079197172437,-0.16823594586783897,0,31,59,55,0,0,0,0,0,366,122
