signal_date,execution_date,market_risk_regime,opportunity_structure,target_total_exposure,core_budget,attack_budget,balanced_budget,defensive_budget,health_scores
2025-09-02,2025-09-03,RISK_ON,NO_EDGE,0.7,0.1322,0.0,0.0991,0.4687,"{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-03,2025-09-04,NEUTRAL,NO_EDGE,0.55,0.1039,0.0,0.0779,0.3682,"{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-04,2025-09-05,NEUTRAL,NO_EDGE,0.55,0.105,0.0,0.0788,0.3662,"{""core"": 50.4, ""attack"": 49.9, ""balanced"": 50.4, ""defensive"": 50.0}"
2025-09-05,2025-09-08,NEUTRAL,NARROW_MOMENTUM,0.55,0.3027,0.0826,0.055,0.1097,"{""core"": 50.3, ""attack"": 50.3, ""balanced"": 50.3, ""defensive"": 49.9}"
2025-09-08,2025-09-09,NEUTRAL,NARROW_MOMENTUM,0.55,0.3027,0.0826,0.055,0.1097,"{""core"": 50.3, ""attack"": 50.3, ""balanced"": 50.3, ""defensive"": 50.0}"
2025-09-09,2025-09-10,NEUTRAL,NO_EDGE,0.55,0.105,0.0,0.0788,0.3662,"{""core"": 50.4, ""attack"": 50.4, ""balanced"": 50.4, ""defensive"": 50.0}"
2025-09-10,2025-09-11,NEUTRAL,NO_EDGE,0.55,0.1049,0.0,0.0787,0.3665,"{""core"": 49.7, ""attack"": 49.7, ""balanced"": 49.7, ""defensive"": 50.1}"
2025-09-11,2025-09-12,NEUTRAL,NO_EDGE,0.55,0.1036,0.0,0.0777,0.3687,"{""core"": 49.7, ""attack"": 49.7, ""balanced"": 49.7, ""defensive"": 50.1}"
2025-09-12,2025-09-15,NEUTRAL,NARROW_MOMENTUM,0.55,0.3023,0.0824,0.055,0.1103,"{""core"": 49.6, ""attack"": 49.6, ""balanced"": 49.6, ""defensive"": 49.9}"
2025-09-15,2025-09-16,NEUTRAL,NO_EDGE,0.55,0.1097,0.0,0.0823,0.3579,"{""core"": 49.6, ""attack"": 49.6, ""balanced"": 49.6, ""defensive"": 50.0}"
2025-09-16,2025-09-17,NEUTRAL,NARROW_MOMENTUM,0.55,0.3023,0.0824,0.055,0.1103,"{""core"": 49.6, ""attack"": 49.6, ""balanced"": 49.6, ""defensive"": 50.0}"
2025-09-17,2025-09-18,NEUTRAL,NARROW_MOMENTUM,0.55,0.3023,0.0824,0.055,0.1103,"{""core"": 49.6, ""attack"": 49.6, ""balanced"": 49.6, ""defensive"": 50.0}"
