group_column,bucket,strategy,periods,total_return,avg_cycle_return,max_drawdown,annualized_volatility,win_rate,avg_gross_exposure
index_bucket,index_neutral,baseline_full_liquidity,29,2.009113506654719,0.041317724943164415,-0.10206130807705516,0.3734928487720832,0.6896551724137931,1.0
index_bucket,index_strong,baseline_full_liquidity,16,1.7516237496696596,0.0666109865421438,-0.0084698965081349,0.2655964647596517,0.9375,1.0
index_bucket,index_weak,baseline_full_liquidity,8,0.6229314719588694,0.06475033599429682,-0.03283667070204943,0.35761607329524997,0.625,1.0
index_bucket,index_neutral,baseline_full_liquidity_detail_hist_mdd_position,29,1.1172061713199053,0.02974294425792134,-0.3496752392236724,0.4292741612237461,0.5862068965517241,0.8163582777233827
index_bucket,index_strong,baseline_full_liquidity_detail_hist_mdd_position,16,1.3204570689482726,0.05767747725224309,-0.16123275128872028,0.44567275954502694,0.625,0.8823171001080697
index_bucket,index_weak,baseline_full_liquidity_detail_hist_mdd_position,8,0.8043791465499637,0.07728051975838324,0.0,0.19692008924822904,1.0,0.7296882025997038
index_bucket,index_neutral,baseline_full_liquidity_detail_market_gate,29,1.0958871269862818,0.029169066182626137,-0.32793451937333773,0.4163221145623574,0.5172413793103449,0.9862068965517242
index_bucket,index_strong,baseline_full_liquidity_detail_market_gate,16,1.4804786112616766,0.061940761206968585,-0.13256078687790085,0.4409180233667089,0.625,1.0
index_bucket,index_weak,baseline_full_liquidity_detail_market_gate,8,0.820339579799721,0.07844479378799046,0.0,0.19366969589270852,1.0,0.9
index_bucket,index_neutral,baseline_full_liquidity_detail_vol_position,29,1.1482923413240327,0.029918016609700244,-0.31895960942524715,0.4083162043316289,0.5172413793103449,0.19562716621167425
index_bucket,index_strong,baseline_full_liquidity_detail_vol_position,16,1.7576361591634848,0.0690705862107038,-0.09004967805976394,0.4474341141359301,0.6875,0.21157162663933887
index_bucket,index_weak,baseline_full_liquidity_detail_vol_position,8,0.6490253217308806,0.06517558505136821,0.0,0.1874134131144541,1.0,0.27399870778601587
index_bucket,index_neutral,tiered_liquidity_then_bs_v2,29,0.4277309531133906,0.01749021048525681,-0.6362429407320384,0.5181280783234897,0.4827586206896552,1.0
index_bucket,index_strong,tiered_liquidity_then_bs_v2,16,1.2765316791448291,0.05344984778441224,-0.02377401097715859,0.1892694138885364,0.8125,1.0
index_bucket,index_weak,tiered_liquidity_then_bs_v2,8,0.09921474834003474,0.01381891526263674,-0.07881029403701034,0.3143075994125408,0.625,1.0
market_liquidity_bucket,high_liquidity,baseline_full_liquidity,9,0.27512100205008694,0.02893247278828655,-0.0535893032560828,0.2817289939830713,0.7777777777777778,1.0
market_liquidity_bucket,low_liquidity,baseline_full_liquidity,3,0.5153448545063946,0.14967751180034483,0.0,0.24745028614742223,1.0,1.0
market_liquidity_bucket,normal_liquidity,baseline_full_liquidity,41,5.954484186950445,0.05055043184109341,-0.10079860888978576,0.3370332827919381,0.7317073170731707,1.0
market_liquidity_bucket,high_liquidity,baseline_full_liquidity_detail_hist_mdd_position,9,0.49464794860837125,0.05179614484503273,-0.08958648764807442,0.5706335707803767,0.6666666666666666,0.905810212553922
market_liquidity_bucket,low_liquidity,baseline_full_liquidity_detail_hist_mdd_position,3,0.3283963877209646,0.09971507013406357,0.0,0.15388636356018656,1.0,0.8739938893267771
market_liquidity_bucket,normal_liquidity,baseline_full_liquidity_detail_hist_mdd_position,41,3.4647576699470415,0.039958991794516806,-0.2557289570030665,0.3829444694869886,0.6341463414634146,0.801334041354615
market_liquidity_bucket,high_liquidity,baseline_full_liquidity_detail_market_gate,9,0.6014880787453905,0.06033548589023395,-0.08628842852451502,0.5937373665616439,0.6666666666666666,1.0
market_liquidity_bucket,low_liquidity,baseline_full_liquidity_detail_market_gate,3,0.3361049967185539,0.10161937229848432,0.0,0.10874755420790318,1.0,0.6
market_liquidity_bucket,normal_liquidity,baseline_full_liquidity_detail_market_gate,41,3.422740827915936,0.03943014534156148,-0.2245184195450879,0.363768469251913,0.5853658536585366,1.0
market_liquidity_bucket,high_liquidity,baseline_full_liquidity_detail_vol_position,9,0.7090481861763545,0.06862129528877065,-0.08259000764643265,0.6232042699541444,0.6666666666666666,0.19423956135791345
market_liquidity_bucket,low_liquidity,baseline_full_liquidity_detail_vol_position,3,0.33193620338720864,0.10036147712436856,0.0,0.075568427560881,1.0,0.18486983795489187
market_liquidity_bucket,normal_liquidity,baseline_full_liquidity_detail_vol_position,41,3.2916069351439807,0.03842635249979201,-0.2385879682127967,0.3451938427067497,0.6097560975609756,0.2182331205504928
market_liquidity_bucket,high_liquidity,tiered_liquidity_then_bs_v2,9,0.2702175711760946,0.027607871745366337,-0.04115073392393165,0.18727903439038812,0.6666666666666666,1.0
market_liquidity_bucket,low_liquidity,tiered_liquidity_then_bs_v2,3,0.41279026207200387,0.12239320887283478,0.0,0.13253438695688935,1.0,1.0
market_liquidity_bucket,normal_liquidity,tiered_liquidity_then_bs_v2,41,0.990887918161395,0.020910110204813065,-0.630628035850951,0.4536359863864385,0.5609756097560976,1.0
