order_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,reference_open_price,fill_price,shares_filled,gross_notional,price_impact_cost,commission,stamp_tax,transfer_fee,total_fee,cash_delta,cash_before,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,risk_state,target_exposure,scenario
289,2025-02-07,2,2025-02-06,603893,SELL,HOLD_EXPIRY,193.99,194.8911,100,19489.1114,90.1114,14.616834,0.0,0.0,14.616834,19474.49,309108.77,328583.27,100,0,118562.0,99163.0,427670.77,427746.27,True,0.4,c0.00075_s0.001
290,2025-02-07,3,2025-02-06,300017,BUY,TARGET_REBALANCE,13.0,13.5476,2200,29804.795,1204.795,22.353596,0.0,0.0,22.353596,-29827.15,328583.27,298756.12,0,2200,99163.0,127763.0,427746.27,426519.12,True,0.4,c0.00075_s0.001
291,2025-02-07,4,2025-02-06,600580,BUY,TARGET_REBALANCE,23.8,28.892,1400,40448.7483,7128.7483,30.336561,0.0,0.0,30.336561,-40479.08,298756.12,258277.03,0,1400,127763.0,161083.0,426519.12,419360.03,True,0.4,c0.00075_s0.001
292,2025-02-18,1,2025-02-17,300718,SELL,HOLD_EXPIRY,77.6,78.1894,500,39094.7162,294.7162,29.321037,0.0,0.0,29.321037,39065.4,258277.03,297342.43,500,0,171567.0,132767.0,429844.03,430109.43,True,0.4,c0.00075_s0.001
293,2025-02-18,2,2025-02-17,000938,BUY,TARGET_REBALANCE,30.52,30.7128,1000,30712.7821,192.7821,23.034587,0.0,0.0,23.034587,-30735.82,297342.43,266606.61,0,1000,132767.0,163287.0,430109.43,429893.61,True,0.4,c0.00075_s0.001
294,2025-02-20,1,2025-02-19,300418,SELL,HOLD_EXPIRY,42.55,42.5074,700,29755.215,29.785,22.316411,0.0,0.0,22.316411,29732.9,266606.61,296339.51,700,0,161821.0,132036.0,428427.61,428375.51,True,0.4,c0.00075_s0.001
295,2025-02-20,2,2025-02-19,300442,SELL,HOLD_EXPIRY,56.0,56.4996,600,33899.7863,299.7863,25.42484,0.0,0.0,25.42484,33874.36,296339.51,330213.87,600,0,132036.0,98436.0,428375.51,428649.87,True,0.4,c0.00075_s0.001
296,2025-02-20,3,2025-02-19,300718,BUY,TARGET_REBALANCE,104.0,104.9997,100,10499.9695,99.9695,7.874977,0.0,0.0,7.874977,-10507.84,330213.87,319706.03,0,100,98436.0,108836.0,428649.87,428542.03,True,0.4,c0.00075_s0.001
297,2025-02-20,4,2025-02-19,603501,BUY,TARGET_REBALANCE,161.0,162.1735,300,48652.0534,352.0534,36.48904,0.0,0.0,36.48904,-48688.54,319706.03,271017.49,0,300,108836.0,157136.0,428542.03,428153.49,True,0.4,c0.00075_s0.001
298,2025-02-21,1,2025-02-20,300017,SELL,HOLD_EXPIRY,13.66,14.207,2200,31255.3534,1203.3534,23.441515,0.0,0.0,23.441515,31231.91,271017.49,302249.4,2200,0,155152.0,125100.0,426169.49,427349.4,True,0.4,c0.00075_s0.001
299,2025-02-21,2,2025-02-20,600580,SELL,HOLD_EXPIRY,27.3,33.0745,1400,46304.2894,8084.2894,34.728217,0.0,0.0,34.728217,46269.56,302249.4,348518.96,1400,0,125100.0,86880.0,427349.4,435398.96,True,0.4,c0.00075_s0.001
300,2025-02-21,3,2025-02-20,002747,BUY,TARGET_REBALANCE,23.41,23.4334,1800,42180.138,42.138,31.635103,0.0,0.0,31.635103,-42211.77,348518.96,306307.19,0,1800,86880.0,129018.0,435398.96,435325.19,True,0.4,c0.00075_s0.001
301,2025-02-21,4,2025-02-20,600498,BUY,TARGET_REBALANCE,27.58,27.8556,1600,44569.0045,441.0045,33.426753,0.0,0.0,33.426753,-44602.43,306307.19,261704.75,0,1600,129018.0,173146.0,435325.19,434850.75,True,0.4,c0.00075_s0.001
