event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20,rel_ret_d21,rel_ret_d22,rel_ret_d23,rel_ret_d24,rel_ret_d25,rel_ret_d26,rel_ret_d27,rel_ret_d28,rel_ret_d29,rel_ret_d30,rel_ret_d31,rel_ret_d32,rel_ret_d33,rel_ret_d34,rel_ret_d35,rel_ret_d36,rel_ret_d37,rel_ret_d38,rel_ret_d39,rel_ret_d40,rel_ret_d41,rel_ret_d42,rel_ret_d43,rel_ret_d44,rel_ret_d45,rel_ret_d46,rel_ret_d47,rel_ret_d48,rel_ret_d49,rel_ret_d50,rel_ret_d51,rel_ret_d52,rel_ret_d53,rel_ret_d54,rel_ret_d55,rel_ret_d56,rel_ret_d57,rel_ret_d58,rel_ret_d59,rel_ret_d60
20250811_000011_01,2025-08-11,000011,000011.SZ,0.0,0.100418,0.059623,0.077406,0.051255,0.064854,0.0659,0.036611,-0.00523,-0.01569,-0.002092,0.0,-0.054393,-0.049163,-0.054393,-0.044979,-0.056485,-0.07636,-0.072176,-0.055439,-0.046025,-0.048117,-0.039749,-0.040795,-0.034519,-0.040795,-0.033473,-0.017782,-0.042887,-0.037657,-0.056485,-0.063808,-0.043933,-0.052301,-0.048117,-0.049163,-0.027197,-0.044979,-0.004184,0.030335,0.024059,-0.014644,0.051255,0.020921,0.01569,0.049163,0.074268,0.182008,0.082636,0.051255,0.156904,0.16841,0.148536,0.167364,0.122385,0.09205,0.094142,0.077406,0.063808,0.057531,0.074268
20250811_000021_01,2025-08-11,000021,000021.SZ,0.0,0.023747,0.022164,0.007916,0.017414,0.046966,0.109763,0.090237,0.084433,0.131398,0.113456,0.148813,0.118734,0.165172,0.152507,0.158311,0.101319,0.067546,0.023747,0.075462,0.080739,0.054881,0.042744,0.096042,0.150396,0.154617,0.157784,0.144591,0.156728,0.172032,0.230607,0.199472,0.319261,0.311346,0.290765,0.337203,0.470712,0.617942,0.673879,0.656464,0.522427,0.556728,0.606332,0.44591,0.437467,0.494987,0.468602,0.475462,0.564116,0.588391,0.554617,0.573087,0.538786,0.440633,0.432718,0.423219,0.39314,0.421636,0.402639,0.469129,0.397889
20250811_000025_01,2025-08-11,000025,000025.SZ,0.0,0.0346,0.013613,-0.009075,-0.007374,0.001134,0.008508,0.014748,0.007374,0.011912,0.032898,0.025525,-0.003403,0.000567,0.020987,0.029495,0.020987,0.004538,0.001134,0.043676,0.057289,0.060125,0.086217,0.055587,0.049915,0.039138,0.039138,0.036869,-0.001134,0.007941,-0.003971,-0.017016,0.008508,-0.007374,-0.015315,-0.007941,-0.005105,0.015315,0.02439,0.018718,0.026659,0.017584,0.013046,-0.001702,-0.013046,-0.003971,-0.01418,0.084515,0.049915,0.053885,0.053885,0.040839,0.017584,0.026659,0.026659,0.020987,0.018151,0.02042,0.035735,0.04481,0.047079
20250811_000529_01,2025-08-11,000529,000529.SZ,0.0,-0.003155,-0.006309,-0.029968,-0.031546,-0.028391,-0.020505,-0.009464,-0.009464,-0.018927,-0.011041,0.001577,-0.015773,-0.018927,-0.009464,0.003155,0.009464,-0.029968,-0.012618,-0.011041,0.009464,0.007886,0.020505,0.033123,0.018927,0.025237,0.014196,0.003155,-0.022082,-0.037855,-0.056782,-0.063091,-0.053628,-0.061514,-0.05836,-0.055205,-0.061514,-0.066246,-0.055205,-0.063091,-0.05205,-0.047319,-0.05205,-0.055205,-0.045741,-0.037855,-0.029968,-0.023659,-0.037855,-0.033123,-0.031546,-0.064669,-0.069401,-0.066246,-0.055205,-0.05205,-0.041009,-0.041009,-0.036278,-0.025237,-0.015773
20250811_000596_01,2025-08-11,000596,000596.SZ,0.0,-0.003135,-0.007224,-0.003816,0.003476,0.011517,0.049339,0.099224,0.091863,0.119872,0.186998,0.17807,0.125869,0.117623,0.167371,0.161238,0.158921,0.139431,0.120213,0.120281,0.151697,0.171869,0.188292,0.179024,0.162601,0.145427,0.148835,0.115102,0.10229,0.095816,0.081437,0.069988,0.06808,0.056018,0.050975,0.091795,0.094317,0.062424,0.051384,0.027873,0.056767,0.056563,0.083618,0.061742,0.076053,0.064741,0.047363,0.058403,0.042524,0.033052,0.038708,0.025351,0.031416,0.097179,0.085935,0.076734,0.057721,0.046681,0.037617,0.107401,0.117623
20250811_000739_01,2025-08-11,000739,000739.SZ,0.0,-0.016112,-0.015512,-0.031024,-0.024465,-0.014918,-0.027448,-0.025659,-0.009547,-0.019094,-0.006565,-0.019094,-0.045942,-0.053701,-0.051313,-0.041765,-0.046542,-0.047136,-0.056683,-0.04296,-0.032218,-0.055489,-0.055489,-0.038189,-0.035201,-0.006565,-0.014918,-0.038137,-0.027621,-0.036966,-0.067921,-0.082521,-0.06675,-0.03463,-0.038137,-0.039885,-0.043392,-0.048648,-0.059158,-0.076678,-0.06675,-0.050401,-0.050984,-0.069669,-0.067332,-0.061494,-0.112305,-0.111134,-0.104125,-0.089525,-0.097705,-0.084858,-0.104125,-0.092449,-0.105296,-0.122816,-0.118726,-0.115807,-0.110552,-0.09887,-0.091278
20250811_000821_01,2025-08-11,000821,000821.SZ,0.0,-0.00659,-0.00659,-0.028007,-0.005766,0.002471,0.001647,0.009885,0.001647,0.004119,0.00659,0.009061,-0.014827,-0.010708,-0.018946,-0.008237,0.044481,0.095552,0.07084,0.116145,0.178748,0.162273,0.149094,0.114498,0.081549,0.07743,0.088138,0.103789,0.059308,0.045305,0.030478,0.023064,0.057661,0.037891,0.026359,0.04201,0.044481,0.060956,0.03542,0.008237,0.019769,0.045305,0.027183,-0.014003,-0.007414,-0.003295,0.003295,0.011532,0.009885,0.029654,0.014003,0.040362,0.025535,0.030478,0.043657,0.029654,0.088962,0.083196,0.096376,0.104613,0.167216
20250811_000831_01,2025-08-11,000831,000831.SZ,0.0,-0.041016,-0.036122,-0.036588,-0.023072,0.047308,0.076206,0.065952,0.103705,0.106502,0.175017,0.094384,0.123281,0.235609,0.359124,0.377767,0.434631,0.332323,0.20811,0.236309,0.225821,0.206712,0.224889,0.284083,0.31601,0.317642,0.268935,0.287113,0.216733,0.195059,0.195292,0.144255,0.16523,0.180378,0.158937,0.160103,0.206013,0.326264,0.274062,0.401538,0.430669,0.385458,0.331391,0.309718,0.283617,0.301794,0.273829,0.247728,0.276159,0.303193,0.253321,0.280121,0.293871,0.228152,0.163831,0.151247,0.131904,0.136565,0.144488,0.136565,0.113493
20250811_002035_01,2025-08-11,002035,002035.SZ,0.0,0.0,-0.001519,-0.019873,-0.007642,0.0,-0.001519,0.007642,0.009177,0.007642,0.016819,0.022942,-0.004588,-0.006108,-0.012231,-0.006108,-0.012231,-0.030584,-0.032104,-0.024461,-0.013765,-0.013765,-0.016819,-0.004588,-0.016819,-0.019873,-0.010696,-0.003054,-0.016819,-0.018339,-0.027515,-0.033638,-0.038227,-0.047403,-0.047403,-0.042815,-0.047403,-0.036692,-0.030584,-0.039746,-0.02905,-0.025996,-0.032104,-0.044334,-0.036692,-0.025996,-0.024461,-0.021408,-0.024461,-0.021408,-0.02905,-0.024461,-0.022927,-0.022927,-0.018339,-0.025996,-0.022927,-0.019873,-0.016819,-0.007642,-0.007642
20250811_002183_01,2025-08-11,002183,002183.SZ,0.0,-0.002151,0.002151,-0.021505,-0.010753,0.002151,0.008602,0.019355,0.017204,0.021505,0.03871,0.045161,0.019355,0.021505,0.004301,0.002151,-0.008602,0.010753,0.025806,0.04086,0.034409,0.047312,0.036559,0.034409,0.073118,0.180645,0.298925,0.236559,0.197849,0.15914,0.126882,0.124731,0.141935,0.111828,0.098925,0.122581,0.133333,0.174194,0.148387,0.113978,0.101075,0.113978,0.086022,0.055914,0.070968,0.096774,0.070968,0.113978,0.103226,0.137634,0.11828,0.131183,0.088172,0.094624,0.098925,0.083871,0.12043,0.137634,0.133333,0.137634,0.141935
