strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_cap_skipped
baseline_full_dynamic_factor_industry_cap2,2026-01-06,2026-01-05,30024.36243499999,483925.78,513950.14243500005,1.02790028487,5,0.9415811769352759,0.0,0.0,7.0,5.0,500000.0,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-01-07,2026-01-06,30024.36243499999,494846.64,524871.002435,1.0497420048700001,5,0.9427966828121387,5.0,485684.73,7.0,0.0,515709.092435,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-01-08,2026-01-07,30024.36243499999,512130.05,542154.412435,1.08430882487,5,0.9446202746923145,5.0,490463.62,7.0,0.0,520487.982435,5.0,6.0
baseline_full_dynamic_factor_industry_cap2,2026-01-09,2026-01-08,30024.36243499999,538110.1799999999,568134.542435,1.13626908487,5,0.9471527249402635,5.0,514701.22,7.0,0.0,544725.582435,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-12,2026-01-09,30024.36243499999,594156.9,624181.262435,1.24836252487,5,0.9518980074507978,5.0,559782.26,7.0,0.0,589806.622435,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-13,2026-01-12,30024.36243499999,570656.3200000001,600680.6824350001,1.2013613648700001,5,0.9500161012115634,5.0,599604.47,7.0,0.0,629628.832435,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-14,2026-01-13,30024.36243499999,560949.9,590974.262435,1.1819485248700001,5,0.9491951437761601,5.0,556073.36,7.0,0.0,586097.722435,5.0,6.0
baseline_full_dynamic_factor_industry_cap2,2026-01-15,2026-01-14,30024.36243499999,525881.23,555905.592435,1.11181118487,5,0.945990177390578,5.0,544523.22,7.0,0.0,574547.582435,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-16,2026-01-15,30024.36243499999,527086.25,557110.612435,1.11422122487,5,0.946106999642727,5.0,524052.69,7.0,0.0,554077.052435,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-19,2026-01-16,30024.36243499999,536086.87,566111.232435,1.1322224648700001,5,0.94696384612286,5.0,523204.31,7.0,0.0,553228.672435,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-20,2026-01-19,27250.49147750008,547177.0,574427.4914775001,1.148854982955,5,0.9525606070708622,0.0,0.0,7.0,10.0,576034.972435,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-01-21,2026-01-20,27250.49147750008,558865.0,586115.4914775001,1.1722309829550002,5,0.9535066179383758,5.0,541323.0,7.0,0.0,568573.4914775001,5.0,6.0
baseline_full_dynamic_factor_industry_cap2,2026-01-22,2026-01-21,27250.49147750008,562006.0,589256.4914775001,1.178512982955,5,0.953754448408074,5.0,564573.0,7.0,0.0,591823.4914775001,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-23,2026-01-22,27250.49147750008,580757.0,608007.4914775001,1.2160149829550002,5,0.9551806649433225,5.0,573166.0,7.0,0.0,600416.4914775001,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-26,2026-01-23,27250.49147750008,570809.0,598059.4914775001,1.196118982955,5,0.9544351492354415,5.0,590397.0,7.0,0.0,617647.4914775001,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-27,2026-01-26,27250.49147750008,588664.0,615914.4914775001,1.2318289829550002,5,0.9557560475446363,5.0,565258.0,7.0,0.0,592508.4914775001,5.0,6.0
baseline_full_dynamic_factor_industry_cap2,2026-01-28,2026-01-27,27250.49147750008,579269.0,606519.4914775001,1.2130389829550001,5,0.95507070776717,5.0,581739.0,7.0,0.0,608989.4914775001,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-29,2026-01-28,27250.49147750008,549225.0,576475.4914775001,1.1529509829550002,5,0.9527291413418854,5.0,578262.0,7.0,0.0,605512.4914775001,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-01-30,2026-01-29,27250.49147750008,543011.0,570261.4914775001,1.140522982955,5,0.9522140423564349,5.0,546055.0,7.0,0.0,573305.4914775001,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-02-02,2026-01-30,27250.49147750008,527944.0,555194.4914775001,1.1103889829550002,5,0.9509172156860198,5.0,543494.0,7.0,0.0,570744.4914775001,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-02-03,2026-02-02,3833.904977499973,591370.0,595203.9049775,1.190407809955,5,0.9935586696501177,0.0,0.0,7.0,10.0,568347.4914775001,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-02-04,2026-02-03,3833.904977499973,581302.0,585135.9049775,1.170271809955,5,0.9934478384510562,5.0,587247.0,7.0,0.0,591080.9049775,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-02-05,2026-02-04,3833.904977499973,573812.0,577645.9049775,1.155291809955,5,0.9933628803658717,5.0,552868.0,7.0,0.0,556701.9049775,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-02-06,2026-02-05,3833.904977499973,608884.0,612717.9049775,1.225435809955,5,0.9937427893874902,5.0,567191.0,7.0,0.0,571024.9049775,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-02-09,2026-02-06,3833.904977499973,651645.0,655478.9049775,1.3109578099549999,5,0.9941509864796769,5.0,635024.0,7.0,0.0,638857.9049775,5.0,6.0
baseline_full_dynamic_factor_industry_cap2,2026-02-10,2026-02-09,3833.904977499973,691879.0,695712.9049775,1.3914258099549999,5,0.9944892426889451,5.0,665089.0,7.0,0.0,668922.9049775,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-02-11,2026-02-10,3833.904977499973,710330.0,714163.9049775,1.4283278099549999,5,0.9946316175449658,5.0,693710.0,7.0,0.0,697543.9049775,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-02-12,2026-02-11,3833.904977499973,719602.0,723435.9049775,1.446871809955,5,0.9947004220399882,5.0,706510.0,7.0,0.0,710343.9049775,5.0,6.0
baseline_full_dynamic_factor_industry_cap2,2026-02-13,2026-02-12,3833.904977499973,709700.0,713533.9049775,1.427067809955,5,0.9946268776427367,5.0,702455.0,7.0,0.0,706288.9049775,5.0,7.0
baseline_full_dynamic_factor_industry_cap2,2026-02-24,2026-02-13,3833.904977499973,719016.0,722849.9049775,1.445699809955,5,0.9946961257778414,5.0,725871.0,7.0,0.0,729704.9049775,5.0,7.0
