strategy,signal_date,desired_role,active_role,selected_strategy,reason,switch_reason,switch_blocked,weekly_switch_allowed,current_role_days_before,market_state,industry_state,market_amount_ratio_20,index_bucket,market_bs_ratio,market_avg_score,market_liquidity_bucket,avg_vol_20,data_cutoff_date,completed_history_rule,attack_short_count,attack_short_avg_ret,industry_concentration_high,attack_drawdown_expanded,recent_champion_role,recent_champion_strategy,champion_score,champion_eligible,champion_reason,avg_s_liquidity,avg_relative_amount,avg_amount_ratio_5_20,avg_low_impact_cost,avg_amount_stability,median_hist_mdd_20,top_industry,top_industry_weight,industry_count,attack_count,attack_avg_ret,attack_win_rate,attack_max_drawdown,attack_total_return,recent_champion_count,recent_champion_avg_ret,recent_champion_win_rate,recent_champion_max_drawdown,recent_champion_total_return,balanced_count,balanced_avg_ret,balanced_win_rate,balanced_max_drawdown,balanced_total_return,robust_count,robust_avg_ret,robust_win_rate,robust_max_drawdown,robust_total_return,defensive_count,defensive_avg_ret,defensive_win_rate,defensive_max_drawdown,defensive_total_return,fallback_count,fallback_avg_ret,fallback_win_rate,fallback_max_drawdown,fallback_total_return,current_role_days_after,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,market_style_state,target_position_ratio,style_reason,strategy_source,route_reason,risk_veto_reason,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,ashare_industry_concentration_triggered,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,ashare_weekly_unconfirmed_count,ashare_resolved_strategy
adaptive_market_style,2025-12-04,defensive,defensive,baseline_full_liquidity,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,0,1,0,index_neutral,normal,0.8443557007743425,index_neutral,0.0516,37.70601551891368,normal_liquidity,0.02494731713063151,2025-12-04,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.00290591658584,50.00970308558122,50.009703085581215,49.99030067895247,50.009703085581215,-0.08248987854251022,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0.5,0.5,defensive_reduce_to_50pct,defensive,0.5,defensive_weak_market_or_attack_industry_risk,Chenyiyun2087,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,,,,,
adaptive_market_style,2025-12-05,recent_champion,defensive,baseline_full_liquidity,hold_min_state_5_days,hold_min_state_5_days,1,0,1,index_neutral,normal,0.9474137976333593,index_neutral,0.05162,38.93180671453522,normal_liquidity,0.02517730161115231,2025-12-05,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002912866291483,50.00970873786408,50.00970873786408,49.990296914418785,50.00970873786408,-0.06876793089315564,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,2,0.5,0.5,defensive_reduce_to_50pct,defensive,0.5,hold_min_state_5_days,Chenyiyun2087+AShare_supplement,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,1.0,1.0,0.0,0.0,1.0,1,1,0.0,mixed_transition,normal,0.0,
adaptive_market_style,2025-12-08,recent_champion,defensive,baseline_full_liquidity,hold_min_state_5_days,hold_min_state_5_days,1,0,2,index_neutral,normal,1.1221194136392296,index_neutral,0.0516,40.13176139670224,normal_liquidity,0.02503880047805527,2025-12-08,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002911736178469,50.009703085581215,50.009703085581215,49.99030067895247,50.009704968944106,-0.06303236797274281,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3,0.5,0.5,defensive_reduce_to_50pct,defensive,0.5,hold_min_state_5_days,Chenyiyun2087,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,,,,,
adaptive_market_style,2025-12-09,recent_champion,defensive,baseline_full_liquidity,hold_min_state_5_days,hold_min_state_5_days,1,0,3,index_neutral,normal,1.0515900019700983,index_neutral,0.053346,39.692566440349175,normal_liquidity,0.02498361415890008,2025-12-09,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002911736178467,50.009703085581215,50.009703085581215,49.99030067895247,50.009703085581215,-0.06802244039270688,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,4,0.5,0.5,defensive_reduce_to_50pct,defensive,0.5,hold_min_state_5_days,Chenyiyun2087,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,,,,,
adaptive_market_style,2025-12-10,recent_champion,defensive,baseline_full_liquidity,hold_min_state_5_days,hold_min_state_5_days,1,0,4,index_neutral,normal,0.9871871440081379,index_neutral,0.054348,39.94452833850932,normal_liquidity,0.024837616543634925,2025-12-10,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002919254658387,50.00971062342203,50.009710623422016,49.9902950310559,50.00971062342202,-0.06899438897289456,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,5,0.5,0.5,defensive_reduce_to_50pct,defensive,0.5,hold_min_state_5_days,Chenyiyun2087,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,,,,,
adaptive_market_style,2025-12-11,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,1,5,index_neutral,normal,1.0439337234769883,index_neutral,0.052376,39.61819592628516,normal_liquidity,0.024977930688561616,2025-12-11,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002909796314258,50.00970496894409,50.0097049689441,49.99030067895247,50.0097049689441,-0.08210637491243716,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0.7,0.7,recent_champion_default_70pct,recent_champion,0.7,recent_champion_default_3m_return_priority,Chenyiyun2087,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
adaptive_market_style,2025-12-12,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,0,1,index_neutral,normal,1.1689010793529784,index_neutral,0.05255,39.62316850882296,normal_liquidity,0.024981558099500957,2025-12-12,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002908667830134,50.00970120294917,50.00970120294917,49.99030444056622,50.00970120294917,-0.07637178434592223,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,2,0.7,0.7,recent_champion_default_70pct,recent_champion,0.7,recent_champion_default_3m_return_priority,Chenyiyun2087,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,mixed_transition,,0.0,
adaptive_market_style,2025-12-15,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,0,2,index_neutral,normal,0.9935793487079302,index_neutral,0.057215,39.25467222653219,normal_liquidity,0.024962484082248597,2025-12-15,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002905352986813,50.009703085581215,50.009703085581215,49.99030256012413,50.009703085581215,-0.07187499999999991,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3,0.7,0.7,recent_champion_default_70pct,recent_champion,0.7,recent_champion_default_3m_return_priority,Chenyiyun2087,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
adaptive_market_style,2025-12-16,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,0,3,index_neutral,normal,0.973261651440648,index_neutral,0.057193,38.53919930205506,normal_liquidity,0.024999672452245266,2025-12-16,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.00291004265219,50.00969932104753,50.00969932104753,49.99030632027918,50.00970120294916,-0.08076131687242805,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,4,0.7,0.7,recent_champion_default_70pct,recent_champion,0.7,recent_champion_default_3m_return_priority,Chenyiyun2087,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,mixed_transition,,0.0,
adaptive_market_style,2025-12-17,recent_champion,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,0,0,4,index_neutral,normal,1.018699807836067,index_neutral,0.057375,38.96608838922272,normal_liquidity,0.024933593094247638,2025-12-17,exit_date < signal_date,0,,0,0,robust,baseline_full_liquidity_detail_vol_position,,1,configured_default_recent_champion_until_constraints_select_another,15.002907540220972,50.009699321047535,50.00969932104753,49.990308199263424,50.00969932104753,-0.07105263157894737,,,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,5,0.7,0.7,recent_champion_default_70pct,recent_champion,0.7,recent_champion_default_3m_return_priority,Chenyiyun2087,adaptive_v21_ashare_weighted_enhancement,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,
