strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-25,000021,深科技,BUY,53.2,0,1300,1300,1300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-25,300285,国瓷材料,BUY,98.4,0,700,700,700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-25,688110,东芯股份,BUY,179.45,0,300,300,300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-25,688521,芯原股份,BUY,338.05,0,200,200,200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-25,000021,深科技,BUY,53.2,0,1300,1300,1300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-25,300285,国瓷材料,BUY,98.4,0,700,700,700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-25,688110,东芯股份,BUY,179.45,0,300,300,300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-25,688521,芯原股份,BUY,338.05,0,200,200,200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-25,000021,深科技,BUY,53.2,0,900,900,900,0.0,0.09999999999999999,0.09999999999999999,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-25,300285,国瓷材料,BUY,98.4,0,500,500,500,0.0,0.09999999999999999,0.09999999999999999,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-25,688110,东芯股份,BUY,179.45,0,200,200,200,0.0,0.09999999999999999,0.09999999999999999,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-25,688521,芯原股份,BUY,338.05,0,100,100,100,0.0,0.09999999999999999,0.09999999999999999,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-25,000725,京东方Ａ,BUY,7.52,0,8100,8100,8100,0.0,0.12264150943396228,0.12264150943396228,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-25,600487,亨通光电,BUY,123.0,0,300,300,300,0.0,0.09433962264150944,0.09433962264150944,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-25,000021,深科技,BUY,53.2,0,1400,1400,1400,0.0,0.15525438446416645,0.15525438446416645,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-25,300285,国瓷材料,BUY,98.4,0,400,400,400,0.0,0.0945060794380267,0.0945060794380267,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-25,688110,东芯股份,BUY,179.45,0,400,400,400,0.0,0.16318262754773893,0.16318262754773893,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-25,688521,芯原股份,BUY,338.05,0,200,200,200,0.0,0.15176404189324022,0.15176404189324022,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-25,000021,深科技,BUY,53.2,0,1300,1300,1300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-25,300285,国瓷材料,BUY,98.4,0,700,700,700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-25,688110,东芯股份,BUY,179.45,0,300,300,300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-25,688521,芯原股份,BUY,338.05,0,200,200,200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_score,基础综合评分策略,2026-06-25,000711,ST京蓝,BUY,4.79,0,14600,14600,14600,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-25,001270,*ST铖昌,BUY,126.75,0,500,500,500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-25,001330,博纳影业,BUY,6.93,0,10100,10100,10100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-25,002647,*ST仁东,BUY,11.12,0,6200,6200,6200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
baseline_full_score,基础综合评分策略,2026-06-25,300561,*ST汇科,BUY,15.32,0,4500,4500,4500,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_score; hold_gate=10d; max_positions=5,baseline_full_score,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-25,000021,深科技,BUY,53.2,0,800,800,800,0.0,0.09074074074074073,0.09074074074074073,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-25,300285,国瓷材料,BUY,98.4,0,400,400,400,0.0,0.09074074074074073,0.09074074074074073,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-25,688110,东芯股份,BUY,179.45,0,200,200,200,0.0,0.09074074074074073,0.09074074074074073,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,2026-06-25,688521,芯原股份,BUY,338.05,0,100,100,100,0.0,0.09074074074074073,0.09074074074074073,trusted_strategy:adaptive_style_switch_dynamic_position; hold_gate=10d; max_positions=5,adaptive_style_switch_dynamic_position,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-25,000021,深科技,BUY,53.2,0,800,800,800,0.0,0.09074074074074073,0.09074074074074073,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-25,300285,国瓷材料,BUY,98.4,0,400,400,400,0.0,0.09074074074074073,0.09074074074074073,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-25,688110,东芯股份,BUY,179.45,0,200,200,200,0.0,0.09074074074074073,0.09074074074074073,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
adaptive_style_shadow,市场风格自适应生产策略（影子）,2026-06-25,688521,芯原股份,BUY,338.05,0,100,100,100,0.0,0.09074074074074073,0.09074074074074073,trusted_strategy:adaptive_style_shadow; hold_gate=10d; max_positions=5,adaptive_market_style,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-25,000011,深物业A,BUY,6.86,0,10200,10200,10200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-25,000029,深深房Ａ,BUY,24.05,0,2900,2900,2900,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-25,000032,深桑达Ａ,BUY,25.68,0,2700,2700,2700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-25,000050,深天马Ａ,BUY,10.38,0,6700,6700,6700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_auto_shadow,AShare AUTO策略（影子）,2026-06-25,603661,恒林股份,BUY,37.3,0,1800,1800,1800,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_auto_shadow; hold_gate=10d; max_positions=5,ashare_auto_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-25,000011,深物业A,BUY,6.86,0,10200,10200,10200,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-25,000029,深深房Ａ,BUY,24.05,0,2900,2900,2900,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-25,000032,深桑达Ａ,BUY,25.68,0,2700,2700,2700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-25,000050,深天马Ａ,BUY,10.38,0,6700,6700,6700,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_trend_breakout_shadow,AShare趋势突破策略（影子）,2026-06-25,000065,北方国际,BUY,11.36,0,6100,6100,6100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:ashare_trend_breakout_shadow; hold_gate=10d; max_positions=5,ashare_trend_breakout_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-25,600703,三安光电,BUY,21.67,0,8000,8000,8000,0.0,0.35,0.35,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
ashare_hybrid_conservative_shadow,AShare保守混合策略（影子）,2026-06-25,603005,晶方科技,BUY,50.0,0,3500,3500,3500,0.0,0.35,0.35,trusted_strategy:ashare_hybrid_conservative_shadow; hold_gate=10d; max_positions=5,ashare_hybrid_conservative_shadow,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-25,000021,深科技,BUY,53.2,0,1500,1500,1500,0.0,0.16000000000000003,0.16000000000000003,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-25,300285,国瓷材料,BUY,98.4,0,800,800,800,0.0,0.16000000000000003,0.16000000000000003,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-25,603986,兆易创新,BUY,775.21,0,100,100,100,0.0,0.16000000000000003,0.16000000000000003,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-25,688110,东芯股份,BUY,179.45,0,400,400,400,0.0,0.16000000000000003,0.16000000000000003,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
dual_system_adaptive_route,双系统自适应路由策略,2026-06-25,688521,芯原股份,BUY,338.05,0,200,200,200,0.0,0.16000000000000003,0.16000000000000003,trusted_strategy:dual_system_adaptive_route; hold_gate=10d; max_positions=5,dual_system_adaptive_route,10,0.7
