strategy,evidence_status,reason,symbol,name,industry,entry_date,exit_date,shares,entry_price,exit_price,buy_cost,sell_cost,net_pnl,return_on_entry_notional,holding_calendar_days,exit_reason,evidence_class,comparability,source_run
production_governed_vol_position,NOT_VERIFIABLE,no saved account trades,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,600996,贵广网络,影视音像,2023-01-05,2023-01-19,3000.0,15.85,15.05,35.6625,33.8625,-2469.524999999997,-0.05193533123028385,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,600919,江苏银行,银行,2023-01-05,2023-01-19,19500.0,9.3414,9.3414,136.617975,136.617975,-273.23595,-0.0015,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,716,黑芝麻,食品,2023-01-05,2023-01-19,3700.0,8.6045,8.2775,23.877487499999997,22.9700625,-1256.7475499999998,-0.03947486780173165,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,1,平安银行,银行,2023-01-05,2023-01-19,6000.0,17.009,17.8713,76.54050000000001,80.42085,5016.838650000007,0.049158667470162926,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,601318,中国平安,保险,2023-01-05,2023-01-19,2300.0,56.9937,59.5422,98.3141325,102.710295,5660.52557250001,0.043181931950373544,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,600887,伊利股份,乳制品,2023-01-19,2023-02-09,3800.0,37.059,35.8214,105.61814999999999,102.09099000000002,-4910.589140000002,-0.03487034998246042,21.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,300124,汇川技术,电器仪表,2023-01-19,2023-02-09,1700.0,68.3082,72.2579,87.092955,92.1288225,6535.268222500013,0.056278388612201864,21.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,2747,埃斯顿,机械基件,2023-01-19,2023-02-09,4200.0,24.9397,26.4374,78.56005499999999,83.27781,6128.502135000008,0.05850780783249205,21.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,2043,兔宝宝,其他建材,2023-01-19,2023-02-09,2700.0,17.2172,15.7096,34.86483,31.81194,-4137.196769999995,-0.08899792649211244,21.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,600276,恒瑞医药,化学制药,2023-01-19,2023-02-09,2100.0,42.6719,43.3399,67.20824250000001,68.2603425,1267.3314149999983,0.014142589151174407,21.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,977,浪潮信息,IT设备,2023-02-09,2023-02-23,2600.0,27.4311,37.4427,53.490645,73.013265,25903.65609,0.36319887463499456,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,300339,润和软件,软件服务,2023-02-09,2023-02-23,1900.0,24.1339,24.935,34.3908075,35.532375,1452.1668174999966,0.031669076485773044,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,300308,中际旭创,通信设备,2023-02-09,2023-02-23,2800.0,46.4271,47.2009,97.49691,99.12188999999998,1970.0211999999842,0.015154489511513627,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,2155,湖南黄金,黄金,2023-02-09,2023-02-23,2700.0,23.0927,24.1048,46.7627175,48.81222,2637.095062500001,0.04229483234961699,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,300502,新易盛,通信设备,2023-02-09,2023-02-23,2200.0,56.2401,60.5419,92.796165,99.894135,9271.2697,0.074932539238017,14.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,,977,浪潮信息,IT设备,2023-02-09,2023-02-28,2500.0,27.4311,38.5629,104.9239575,72.3054375,27652.270604999998,0.4032251073416669,19.0,rebalance_unlocked,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,exports/signal_research/20260604_152142_206060_trusted_account_backtest
