strategy,window,evidence_status,sample_start,sample_end,trading_days,initial_equity,final_equity,ending_cash,ending_market_value,total_return,annualized_return,max_drawdown,drawdown_duration_trading_days,calmar,sharpe,sortino,annualized_volatility,daily_win_rate,turnover_notional_over_initial,total_cost,max_single_stock_weight,max_industry_weight,trade_cost_rate,slippage_rate,execution_time,adjustment_rule,suspension_limit_handling,cash_handling,evidence_class,comparability,formal_conclusion_allowed,sample_note,source_run
production_governed_vol_position,full_history,NOT_VERIFIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,one_year,NOT_VERIFIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,six_months,NOT_VERIFIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
production_governed_vol_position,three_months,NOT_VERIFIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_full_liquidity_detail_vol_position,full_history,NOT_VERIFIABLE,2023-01-05,2026-06-02,822.0,499075.317405,592006.6439633499,44137.64396334991,547869.0,0.18620701789372607,0.05141510299814711,-0.6641122328402946,757.0,0.07741929820845717,0.33636959731266514,0.5429829185043009,0.43324677966309233,0.48721071863581,125.10318503997104,46826.93383665,0.7453471989041306,0.9031577344493339,0.00075,0.0,T+1_OPEN,signals may use adjusted data; strict ledger marks raw prices,historical saved run only; fresh strict snapshot unavailable,cash carried in saved account NAV,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,False,,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,one_year,NOT_VERIFIABLE,2025-06-03,2026-06-02,243.0,213011.9839368499,592006.6439633499,44137.64396334991,547869.0,1.7792175492758084,1.7889902930906185,-0.28754476465590595,81.0,6.221606208798258,2.3400326242027822,4.029167893447811,0.5108000795723275,0.5289256198347108,293.1098552685651,46826.93383665,0.7453471989041306,0.9031577344493339,0.00075,0.0,T+1_OPEN,signals may use adjusted data; strict ledger marks raw prices,historical saved run only; fresh strict snapshot unavailable,cash carried in saved account NAV,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,False,样本不足，不可作为长期能力证明,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,six_months,NOT_VERIFIABLE,2025-12-01,2026-06-02,120.0,321423.3132283498,592006.6439633499,44137.64396334991,547869.0,0.8418285780744494,2.3838517477254113,-0.28754476465590595,81.0,8.290367416628424,2.737882211443797,4.929456132464666,0.5226312997847152,0.5462184873949579,194.24823655477488,46826.93383665,0.7453471989041306,0.9031577344493339,0.00075,0.0,T+1_OPEN,signals may use adjusted data; strict ledger marks raw prices,historical saved run only; fresh strict snapshot unavailable,cash carried in saved account NAV,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,False,样本不足，不可作为长期能力证明,exports/signal_research/20260604_152142_206060_trusted_account_backtest
baseline_full_liquidity_detail_vol_position,three_months,NOT_VERIFIABLE,2026-03-02,2026-06-02,63.0,433045.2553783498,592006.6439633499,44137.64396334991,547869.0,0.3670780053833316,2.460303130225536,-0.12865168412092332,35.0,19.123753777782092,2.9480791945283262,6.114486077736464,0.4684320793516923,0.5483870967741935,144.1787226779566,46826.93383665,0.7453471989041306,0.9031577344493339,0.00075,0.0,T+1_OPEN,signals may use adjusted data; strict ledger marks raw prices,historical saved run only; fresh strict snapshot unavailable,cash carried in saved account NAV,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,False,样本不足，不可作为长期能力证明,exports/signal_research/20260604_152142_206060_trusted_account_backtest
adaptive_market_style,full_history,NOT_VERIFIABLE,2023-01-05,2026-06-04,824.0,498180.0808875,710444.7184124995,212357.71841249953,498087.0,0.4260801378225587,0.10964855033912468,-0.3733375243147101,621.0,0.29369817711303753,0.5276477745252699,0.8190688622359065,0.27929988968370817,0.47630619684082626,97.24968401725518,36335.891587499995,0.457158957203121,0.6160734043668332,0.00075,0.0,T+1_OPEN,signals may use adjusted data; strict ledger marks raw prices,historical saved run only; fresh strict snapshot unavailable,cash carried in saved account NAV,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,False,,exports/signal_research/20260605_004258_229723_trusted_account_backtest
adaptive_market_style,one_year,NOT_VERIFIABLE,2025-06-04,2026-06-04,244.0,466186.5782649998,710444.7184124995,212357.71841249953,498087.0,0.5239493188683209,0.5243891410737371,-0.22236070234515604,91.0,2.3582815467985077,1.410847647984282,2.081324445541106,0.3538302698591775,0.5267489711934157,103.92374578930978,36335.891587499995,0.457158957203121,0.6160734043668332,0.00075,0.0,T+1_OPEN,signals may use adjusted data; strict ledger marks raw prices,historical saved run only; fresh strict snapshot unavailable,cash carried in saved account NAV,HISTORICAL_SAVED_ACCOUNT_RUN,NON_COMPARABLE,False,样本不足，不可作为长期能力证明,exports/signal_research/20260605_004258_229723_trusted_account_backtest
