rule,n,coverage,hit20,lift,max_ret20,mdd20,avg_v2
v2>=50 & rs_liq>=45 & gain<=5,75,0.1284246575342466,0.44,1.6263291139240506,0.11826690666666667,-0.11408470666666666,59.35586666666665
v2>=50 & rs_liq>=45 & gain<=8,75,0.1284246575342466,0.44,1.6263291139240506,0.11826690666666667,-0.11408470666666666,59.35586666666665
v2>=50 & rs_liq>=45 & gain<=12,75,0.1284246575342466,0.44,1.6263291139240506,0.11826690666666667,-0.11408470666666666,59.35586666666665
v2>=50 & rs_liq>=45,75,0.1284246575342466,0.44,1.6263291139240506,0.11826690666666667,-0.11408470666666666,59.35586666666665
rs_liquidity_combo>=45,81,0.1386986301369863,0.43209876543209874,1.5971245507110483,0.11407244444444443,-0.11540330864197532,58.206419753086415
v2>=52 & rs_liq>=45 & gain<=5,68,0.11643835616438356,0.4264705882352941,1.5763216679076693,0.11831269117647059,-0.11247554411764706,60.196323529411764
v2>=52 & rs_liq>=45 & gain<=8,68,0.11643835616438356,0.4264705882352941,1.5763216679076693,0.11831269117647059,-0.11247554411764706,60.196323529411764
v2>=52 & rs_liq>=45 & gain<=12,68,0.11643835616438356,0.4264705882352941,1.5763216679076693,0.11831269117647059,-0.11247554411764706,60.196323529411764
v2>=52 & rs_liq>=45,68,0.11643835616438356,0.4264705882352941,1.5763216679076693,0.11831269117647059,-0.11247554411764706,60.196323529411764
v2>=50 & rs_liq>=40 & gain<=5,123,0.2106164383561644,0.4065040650406504,1.5025213543274671,0.11670364227642276,-0.1221440731707317,58.34650406504065
v2>=50 & rs_liq>=40 & gain<=8,123,0.2106164383561644,0.4065040650406504,1.5025213543274671,0.11670364227642276,-0.1221440731707317,58.34650406504065
v2>=50 & rs_liq>=40 & gain<=12,123,0.2106164383561644,0.4065040650406504,1.5025213543274671,0.11670364227642276,-0.1221440731707317,58.34650406504065
v2>=50 & rs_liq>=40,123,0.2106164383561644,0.4065040650406504,1.5025213543274671,0.11670364227642276,-0.1221440731707317,58.34650406504065
v2>=52 & rs_liq>=40 & gain<=5,111,0.19006849315068494,0.40540540540540543,1.4984604858022579,0.11924698198198198,-0.11987914414414413,59.120630630630636
v2>=52 & rs_liq>=40 & gain<=8,111,0.19006849315068494,0.40540540540540543,1.4984604858022579,0.11924698198198198,-0.11987914414414413,59.120630630630636
v2>=52 & rs_liq>=40 & gain<=12,111,0.19006849315068494,0.40540540540540543,1.4984604858022579,0.11924698198198198,-0.11987914414414413,59.120630630630636
v2>=52 & rs_liq>=40,111,0.19006849315068494,0.40540540540540543,1.4984604858022579,0.11924698198198198,-0.11987914414414413,59.120630630630636
v2>=55 & rs_liq>=45 & gain<=5,57,0.0976027397260274,0.40350877192982454,1.491450144348212,0.11939491228070176,-0.12094759649122808,61.397543859649126
v2>=55 & rs_liq>=45 & gain<=8,57,0.0976027397260274,0.40350877192982454,1.491450144348212,0.11939491228070176,-0.12094759649122808,61.397543859649126
