first_date,last_date,trading_days,initial_cash,final_equity,total_return,annualized_return,max_drawdown,daily_win_rate,best_day,worst_day,avg_gross_exposure,avg_position_count,trade_count,buy_count,sell_count,stop_loss_sell_count,turnover,total_cost,adaptive_switch_count,adaptive_attack_days,adaptive_recent_champion_days,adaptive_balanced_days,adaptive_robust_days,adaptive_defensive_days,adaptive_fallback_days,dual_attack_days,dual_neutral_days,dual_defensive_days,dual_freeze_days,adaptive_avg_target_position_ratio,adaptive_min_target_position_ratio,adaptive_max_target_position_ratio,strategy,sort_col,pool,top_n,hold_days,trade_cost_rate,slippage_rate,lot_size,min_trade_value,max_total_positions,position_ratio,risk_profile,risk_profile_description,market_gate,hard_stop_loss_pct
2023-11-30,2026-06-17,615,500000.0,724539.1839875004,0.4490783679750008,0.1644366947511029,-0.26681531331142183,0.4845528455284553,0.16343642013938675,-0.14247789441733216,0.37804347967561314,4.650406504065041,606,307,299,0,47.0689719562243,18612.5860125,81.0,35.0,298.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.3889396411092985,0.315,0.5599999999999999,adaptive_market_style,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,599703.4750325002,0.19940695006500042,0.07748126788098286,-0.24810418157264214,0.4845528455284553,0.048963766241680196,-0.0725864176212817,0.5563047881430156,4.900813008130081,611,311,300,0,68.98101424136509,24082.794967499998,81.0,35.0,298.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.5578303425774879,0.45,0.7999999999999999,production_governed_vol_position,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,599703.4750325002,0.19940695006500042,0.07748126788098286,-0.24810418157264214,0.4845528455284553,0.048963766241680196,-0.0725864176212817,0.5563047881430156,4.900813008130081,611,311,300,0,68.98101424136509,24082.794967499998,81.0,35.0,298.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.5578303425774879,0.45,0.7999999999999999,production_governed_vol_position_pattern_guard,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,550864.3986275,0.10172879725500006,0.040563155352457025,-0.35326555315331787,0.4894308943089431,0.06063905902736133,-0.06821511391491841,0.6848795023920901,4.943089430894309,618,313,305,0,84.15968063937167,26613.331372499997,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,liquidity_detail_score,full,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,514642.8454449997,0.02928569088999944,0.011917349050894366,-0.31891320151904035,0.4845528455284553,0.08537133952393483,-0.08530623933779424,0.5660249792453442,4.375609756097561,612,328,284,0,41.8665234363956,14064.174554999998,,,,,,,,,,,,,,,baseline_full_liquidity,s_liquidity,full,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,472713.4711925,-0.05457305761500009,-0.02276919395231025,-0.4074733299842055,0.47479674796747967,0.06033045701966566,-0.06985499921679261,0.6844115118052747,4.947967479674797,616,311,305,0,83.65873914577872,24429.1788075,,,,,,,,,,,,,,,baseline_full_liquidity_detail,liquidity_detail_score,full,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,441039.9093824998,-0.11792018123500037,-0.05019345399884845,-0.5205835017291383,0.47479674796747967,0.1563833148065501,-0.13872166780097062,0.5207112487653012,4.725203252032521,610,309,301,0,63.34168205801463,18700.3406175,81.0,35.0,298.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.5578303425774879,0.45,0.7999999999999999,production_governed_adaptive,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,441039.9093824998,-0.11792018123500037,-0.05019345399884845,-0.5205835017291383,0.47479674796747967,0.1563833148065501,-0.13872166780097062,0.5207112487653012,4.725203252032521,610,309,301,0,63.34168205801463,18700.3406175,81.0,35.0,298.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.5578303425774879,0.45,0.7999999999999999,production_governed_adaptive_pattern_guard,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,421137.874635,-0.15772425072999996,-0.0680240720986125,-0.449473614011611,0.47479674796747967,0.05927394180842138,-0.07574284569838641,0.6838444561194224,4.941463414634146,619,313,306,0,84.48452404115586,23972.965365000004,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position_pattern_rerank,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,421137.874635,-0.15772425072999996,-0.0680240720986125,-0.449473614011611,0.47479674796747967,0.05927394180842138,-0.07574284569838641,0.6838444561194224,4.941463414634146,619,313,306,0,84.48452404115586,23972.965365000004,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,adaptive,adaptive,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
2023-11-30,2026-06-17,615,500000.0,362281.5117125003,-0.27543697657499944,-0.1238630888236203,-0.7239614059982018,0.4764227642276423,0.777202378819364,-0.39965531733203796,0.6888397108733082,4.983739837398374,618,310,308,0,85.81132997028158,22178.0782875,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,bs_score_v2,liquidity_tiered,5,10,0.00075,0.0,100,500.0,5,0.7,adaptive,自适应档：最近3个月收益优先选择冠军策略，并按T日市场/行业状态动态调整50%-80%仓位，强进攻阶段才短期开到进攻策略。,False,0.0
