strategy,month,monthly_return,max_drawdown,avg_gross_exposure
adaptive_market_style,2023-11,0.0,0.0,0.3340352447162192
adaptive_market_style,2023-12,-0.028521238958843287,-0.03719645074633393,0.2827485093869314
adaptive_market_style,2024-01,-0.016437579423978166,-0.02011928259516993,0.31201235544493966
adaptive_market_style,2024-02,0.01062839112242231,-0.015549925427456479,0.2906150686776915
adaptive_market_style,2024-03,0.03762624278956106,-0.0916128607229243,0.501474469896999
adaptive_market_style,2024-04,-0.03118897259590747,-0.03118897259590747,0.40114642028175423
adaptive_market_style,2024-05,-0.014742108026707279,-0.02864211082714241,0.3695202495177235
adaptive_market_style,2024-06,-0.008716345628286049,-0.029816763906524324,0.2719671615818786
adaptive_market_style,2024-07,-0.016091624705935614,-0.03481526309220784,0.366462913216535
adaptive_market_style,2024-08,-0.06222162429732525,-0.07210243697474328,0.25914300742839874
adaptive_market_style,2024-09,0.06513638656400422,-0.013415501406942698,0.3322266593048621
adaptive_market_style,2024-10,0.0514149660983132,-0.04329394406333298,0.39365432273142204
adaptive_market_style,2024-11,-0.008731683571110316,-0.06472372214483879,0.4144142819590703
adaptive_market_style,2024-12,-0.024933958413148383,-0.046660230490132015,0.36304545208964234
adaptive_market_style,2025-01,0.0548162887847643,-0.028126191627557362,0.3176695235988866
adaptive_market_style,2025-02,-0.06543200228038704,-0.07809423361073264,0.4548352734357397
adaptive_market_style,2025-03,0.06926433623279582,-0.061821377683743295,0.4556635018257572
adaptive_market_style,2025-04,-0.03616347621557581,-0.04171541348708885,0.2654584305600978
adaptive_market_style,2025-05,-0.021586652870281497,-0.023798984596200445,0.3145364485020492
adaptive_market_style,2025-06,-0.037941184426351415,-0.0675317500790309,0.3196631668203405
adaptive_market_style,2025-07,-0.0008745223597091956,-0.024364201088671544,0.41763434113101977
adaptive_market_style,2025-08,0.23968630054435858,-0.04862003176536578,0.5165234396394089
adaptive_market_style,2025-09,0.0004674434978102493,-0.06798630746833834,0.3892637319881577
adaptive_market_style,2025-10,-0.053616484389347074,-0.05818475171423099,0.4020089911848119
adaptive_market_style,2025-11,-0.05113479508535568,-0.08479767177030495,0.38571517982794407
adaptive_market_style,2025-12,0.29910330940707874,-0.04162469520377421,0.3474632540598524
adaptive_market_style,2026-01,0.0766299002263453,-0.1233651641464587,0.5255892665675621
adaptive_market_style,2026-02,0.036060671194107385,-0.031852148901891586,0.3503843922470196
adaptive_market_style,2026-03,-0.06811977135981839,-0.07908726207766936,0.41568680264706687
adaptive_market_style,2026-04,0.007962312942816574,-0.035966289165763055,0.36920941531811247
adaptive_market_style,2026-05,0.1228392930106057,-0.028377078395096844,0.5097211030355769
adaptive_market_style,2026-06,0.049320491243453946,-0.04272714010395384,0.40053732231175887
production_governed_vol_position,2023-11,0.0,0.0,0.6407063521024414
production_governed_vol_position,2023-12,-0.029039238565837344,-0.039046101332858796,0.5535584915230942
production_governed_vol_position,2024-01,-0.028435199114960286,-0.03656007508858261,0.4390906845436708
production_governed_vol_position,2024-02,0.02885789110290715,-0.016845629110087912,0.4406714623393437
production_governed_vol_position,2024-03,0.06259014322043344,-0.023542627866982135,0.6405604646572454
production_governed_vol_position,2024-04,-0.007214065997246721,-0.014454068130905995,0.6900985312584009
production_governed_vol_position,2024-05,-0.029074149604069732,-0.04674017655765228,0.6959593976815834
production_governed_vol_position,2024-06,0.007021867931778614,-0.03537639349293997,0.571126504444845
production_governed_vol_position,2024-07,-0.03753179701544551,-0.04608938355269465,0.44282070311707833
production_governed_vol_position,2024-08,-0.07802058154474611,-0.07802058154474611,0.44328543702823153
production_governed_vol_position,2024-09,0.04957405958089489,-0.038974763182114236,0.4403853040272591
production_governed_vol_position,2024-10,-0.005557048364348449,-0.04818131643152335,0.4281911709121085
production_governed_vol_position,2024-11,-0.01816318525491667,-0.0890748510886008,0.5754078847648338
production_governed_vol_position,2024-12,-0.04825254265908052,-0.07591443761781957,0.6793076486638825
production_governed_vol_position,2025-01,-0.006646646360249475,-0.031495320873604515,0.5453352480537896
production_governed_vol_position,2025-02,-0.0037059636488607772,-0.05556595602614023,0.44411001191294974
production_governed_vol_position,2025-03,0.008383102710095125,-0.043125790219693316,0.44064782006842507
production_governed_vol_position,2025-04,-0.014665350355768658,-0.07406189171002064,0.5064246974831126
production_governed_vol_position,2025-05,-0.06559200392493925,-0.06559200392493925,0.42967102648851957
production_governed_vol_position,2025-06,0.04611619410776813,-0.05990116847223359,0.4542190346475494
production_governed_vol_position,2025-07,0.046515400326184286,-0.01423086456592737,0.4403418179334954
production_governed_vol_position,2025-08,0.06036379624575905,-0.028910846577766436,0.4693187152632185
production_governed_vol_position,2025-09,0.08255040005273795,-0.07578508584025212,0.6876712741436047
production_governed_vol_position,2025-10,-0.06204943550293085,-0.08824022832873857,0.6732747304921338
production_governed_vol_position,2025-11,-0.10225265093821845,-0.16833219399734567,0.6938648968497558
production_governed_vol_position,2025-12,0.08891028849818516,-0.03599197556309763,0.4629312420110828
production_governed_vol_position,2026-01,0.06083014398632125,-0.08075915216748464,0.6623246749256099
production_governed_vol_position,2026-02,0.13124557578874763,-0.04509024907762549,0.6555038024028619
production_governed_vol_position,2026-03,-0.11301585834610306,-0.11301585834610306,0.6675879723832714
production_governed_vol_position,2026-04,0.009301414502591365,-0.05583126472511246,0.6619507325271473
production_governed_vol_position,2026-05,0.0967131560594412,-0.03425154192390001,0.6998166714698483
production_governed_vol_position,2026-06,0.13628924420061872,-0.05016025821291681,0.6838334233649257
