date,legacy_nav,meta_nav_curve_a,legacy_return,meta_return,legacy_nav_dd,meta_nav_curve_a_dd,nav_diff,nav_diff_pct,cum_diff_pct
2025-09-02,0.985660003395,,0.0,,0.0,,,,
2025-09-03,0.98464217648,10.05985,-0.0010326348959015519,,-0.0010326348959015072,0.0,-9.075207823520001,-921.6757153307191,
2025-09-04,0.93131123648,9.671927,-0.05513946667999259,,-0.055139466679992616,-0.03856150936644191,-8.740615763520001,-938.5278971352459,
2025-09-05,0.96661611648,10.108005,-0.01932094926181993,,-0.019320949261819903,0.0,-9.141388883520001,-945.7103732978305,
2025-09-08,0.94498425648,10.181153,-0.041267523055512956,,-0.0412675230555129,0.0,-9.23616874352,-977.3886369201622,
2025-09-09,0.93620983648,10.137167,-0.050169598791342085,,-0.05016959879134209,-0.004320335820510732,-9.20095716352,-982.7879183703234,
2025-09-10,0.95105237648,10.184521,-0.03511112026033092,,-0.03511112026033097,0.0,-9.23346862352,-970.8685716863013,
2025-09-11,1.00181033648,10.217217,0.01638529820564072,,0.0,0.0,-9.21540666352,-919.875382390205,
2025-09-12,1.00849891648,10.335397,0.02317118783995875,,0.0,0.0,-9.32689808352,-924.829757484917,
2025-09-15,1.01526017648,10.292372,0.030030814868256206,,0.0,-0.004162878310334871,-9.27711182352,-913.7669376222947,
2025-09-16,1.014016116915,10.298328,0.02876865594863376,,-0.0012253603498103656,-0.0035866063006578927,-9.284311883085,-915.5980588682555,
2025-09-17,1.015997908865,10.238558,0.030779280244206175,,0.0,-0.009369644920267794,-9.222560091135,-907.7341607363919,
2025-09-18,1.0077991088649998,10.434813,0.022461198987220765,,-0.008069701648460364,0.0,-9.427013891135001,-935.4060554540341,
2025-09-19,1.015208228865,10.170509,0.029978111486947068,,-0.0007772456942181984,-0.02532905956244745,-9.155300771135,-901.8150671779523,
2025-09-22,1.033826388865,10.508112,0.04886714009303006,,0.0,0.0,-9.474285611135,-916.4290748600905,
2025-09-23,1.041554188865,10.384887,0.05670736894819561,,0.0,-0.011726654607411844,-9.343332811135001,-897.0568128881126,
2025-09-24,1.057803908865,10.431729,0.07319350001167546,,0.0,-0.0072689556411275275,-9.373925091135,-886.168505578034,
2025-09-25,1.075909748865,10.441929,0.09156275506680234,,0.0,-0.006298276988292525,-9.366019251135,-870.5209020566467,
2025-09-26,1.0545235888649998,10.168152,0.06986545586998205,,-0.019877280620015737,-0.03235214851155006,-9.113628411135,-864.2413035960761,
2025-09-29,1.080933508865,10.332536,0.09665960386121042,,0.0,-0.01670861521080107,-9.251602491135,-855.8900631038214,
2025-09-30,1.10213821817,10.327607,0.11817281250512668,,0.0,-0.017177681395097438,-9.225468781830001,-837.0518896575469,
2025-10-09,1.091352250745,10.551625,0.10722992409751275,,-0.009786401784441382,0.0,-9.460272749255,-866.8395325887719,
2025-10-10,1.060677690745,10.298334,0.07610909146319167,,-0.03761826487955511,-0.024004928150877146,-9.237656309255001,-870.9202041165443,
2025-10-13,1.080489610745,10.134005,0.09620924763444738,,-0.019642370682821892,-0.03957873787212865,-9.053515389255,-837.908601732189,
2025-10-14,1.037362370745,10.071489,0.05245456564324069,,-0.05877288924120096,-0.045503512492151676,-9.034126629254999,-870.8747188089136,
2025-10-15,1.042873670745,10.128722,0.058046047473706563,,-0.05377233676135772,-0.04007941904682926,-9.085848329255,-871.2319223443741,
2025-10-16,1.044246250745,10.22087,0.05943859662379114,,-0.05252695757263925,-0.031346356603840636,-9.176623749255,-878.7796693268557,
2025-10-17,1.008629190745,9.799477,0.023303357416233794,,-0.0848432854277235,-0.07128266973096561,-8.790847809255,-871.5638898733289,
2025-10-20,1.009763950745,9.802014,0.024454626612601338,,-0.08381368679726843,-0.0710422328314359,-8.792250049255,-870.7233054584798,
2025-10-21,1.032331790745,9.860146,0.04735079762721828,,-0.06333727138226554,-0.06553293923921664,-8.827814209255001,-855.1334259389857,
2025-10-22,1.03424454861,9.82795,0.049291383486857354,,-0.06160177411571039,-0.06858422280928293,-8.79370545139,-850.2539813440187,
2025-10-23,1.023593100505,9.297949,0.03848497147022667,,-0.07126612286017706,-0.11881354767630584,-8.274355899495,-808.3637819962602,
2025-10-24,1.042063360505,9.069381,0.05722394833484645,,-0.054507553294675416,-0.14047542440145472,-8.027317639495,-770.3291319641866,
2025-10-27,1.071141040505,8.919149,0.08672466856275962,,-0.028124582882597046,-0.15471323137431425,-7.848007959495001,-732.6773657925553,
2025-10-28,1.0751992005049995,8.757802,0.09084186920600534,,-0.02444250387191017,-0.17000443059718287,-7.682602799495,-714.5283214391004,
2025-10-29,1.075725760505,9.244954,0.09137608992936519,,-0.023964741653597205,-0.12383599682513355,-8.169228239495,-759.4155071325941,
2025-10-30,1.065559300505,9.392125,0.08106172192723182,,-0.0331890474914625,-0.10988828734910495,-8.326565699495,-781.4267770502115,
2025-10-31,1.051469660505,9.287351,0.06676709705509576,,-0.045972961312538835,-0.11981794273393913,-8.235881339494998,-783.2733219843421,
2025-11-03,1.058895800505,9.286745,0.0743012771723992,,-0.03923502238838974,-0.1198753746460853,-8.227849199495,-777.0216102066927,
2025-11-04,1.063864480505,9.055495,0.07934224462860717,,-0.03472680380193151,-0.1417914302299408,-7.991630519495001,-751.1887713086819,
2025-11-05,1.0603961683099998,9.106945,0.07582347326418759,,-0.03787369784645427,-0.13691540402544633,-8.04654883169,-758.8247743778761,
2025-11-06,1.055041177745,8.513964,0.0703905749558913,,-0.04273242652196591,-0.19311347778185825,-7.4589228222549995,-706.9793084472194,
2025-11-07,1.075404737745,8.745636,0.09105039672999204,,-0.024256014340368677,-0.1711574283581913,-7.670231262254999,-713.2413493303546,
