signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count
2023-01-31,2023-02-16,defensive,baseline_full_liquidity_detail,-0.01017415666023285,5
2023-01-31,2023-02-16,fallback,baseline_full_score,0.012559657265306747,5
2023-02-01,2023-02-17,attack,tiered_liquidity_then_bs_v2,-0.06030193552252912,5
2023-02-01,2023-02-17,balanced,baseline_full_dynamic_factor_industry_cap2,-0.08411694697840508,5
2023-02-01,2023-02-17,defensive,baseline_full_liquidity_detail,-0.024687948600160638,5
2023-02-01,2023-02-17,fallback,baseline_full_score,-0.01833227972534692,5
2023-02-02,2023-02-20,attack,tiered_liquidity_then_bs_v2,0.029502080372400222,5
2023-02-02,2023-02-20,balanced,baseline_full_dynamic_factor_industry_cap2,0.005030756183503527,5
2023-02-02,2023-02-20,defensive,baseline_full_liquidity_detail,0.059077683841472634,5
2023-02-02,2023-02-20,fallback,baseline_full_score,-0.055543455614621665,5
2023-02-03,2023-02-21,attack,tiered_liquidity_then_bs_v2,-0.045769261582825085,5
2023-02-03,2023-02-21,balanced,baseline_full_dynamic_factor_industry_cap2,0.014881711974928623,5
2023-02-03,2023-02-21,defensive,baseline_full_liquidity_detail,-0.018363211555391026,5
2023-02-03,2023-02-21,fallback,baseline_full_score,0.12066648016917178,5
2023-02-06,2023-02-22,attack,tiered_liquidity_then_bs_v2,0.04775786898603763,5
2023-02-06,2023-02-22,balanced,baseline_full_dynamic_factor_industry_cap2,0.014394675965619916,5
2023-02-06,2023-02-22,defensive,baseline_full_liquidity_detail,-0.04360987316482974,5
2023-02-06,2023-02-22,fallback,baseline_full_score,-0.0005034591871596141,5
2023-02-07,2023-02-23,attack,tiered_liquidity_then_bs_v2,0.006635346902480398,5
2023-02-07,2023-02-23,balanced,baseline_full_dynamic_factor_industry_cap2,-0.01878177869023239,5
2023-02-07,2023-02-23,defensive,baseline_full_liquidity_detail,0.06225131895316933,5
2023-02-07,2023-02-23,fallback,baseline_full_score,-0.016110348450751256,5
2023-02-08,2023-02-24,attack,tiered_liquidity_then_bs_v2,-0.0551174502964039,5
2023-02-08,2023-02-24,balanced,baseline_full_dynamic_factor_industry_cap2,-0.007930393954409733,5
2023-02-08,2023-02-24,defensive,baseline_full_liquidity_detail,0.11625776458071141,5
2023-02-08,2023-02-24,fallback,baseline_full_score,0.10418500656048035,5
2023-02-09,2023-02-27,attack,tiered_liquidity_then_bs_v2,-0.018805092648381528,5
2023-02-09,2023-02-27,balanced,baseline_full_dynamic_factor_industry_cap2,0.022186257655839172,5
2023-02-09,2023-02-27,defensive,baseline_full_liquidity_detail,0.04602485429554664,5
2023-02-09,2023-02-27,fallback,baseline_full_score,0.04291211272813224,5
2023-02-10,2023-02-28,attack,tiered_liquidity_then_bs_v2,0.02719169652478706,5
2023-02-10,2023-02-28,balanced,baseline_full_dynamic_factor_industry_cap2,-0.029227065440939802,5
2023-02-10,2023-02-28,defensive,baseline_full_liquidity_detail,0.05393223064618469,5
2023-02-10,2023-02-28,fallback,baseline_full_score,-0.0017068660023257798,5
2023-02-13,2023-03-01,attack,tiered_liquidity_then_bs_v2,0.102672983098059,5
2023-02-13,2023-03-01,balanced,baseline_full_dynamic_factor_industry_cap2,0.07082719519559158,5
2023-02-13,2023-03-01,defensive,baseline_full_liquidity_detail,0.0576521855248844,5
2023-02-13,2023-03-01,fallback,baseline_full_score,-0.042640561043922706,5
2023-02-14,2023-03-02,attack,tiered_liquidity_then_bs_v2,-0.04249289084713477,5
2023-02-14,2023-03-02,balanced,baseline_full_dynamic_factor_industry_cap2,0.0877934949245886,5
2023-02-14,2023-03-02,defensive,baseline_full_liquidity_detail,0.11548081019772673,5
2023-02-14,2023-03-02,fallback,baseline_full_score,-0.03043211288763812,5
2023-02-15,2023-03-03,attack,tiered_liquidity_then_bs_v2,0.024099134636699146,5
2023-02-15,2023-03-03,balanced,baseline_full_dynamic_factor_industry_cap2,0.03407232372250477,5
2023-02-15,2023-03-03,defensive,baseline_full_liquidity_detail,0.009527135244272756,5
2023-02-15,2023-03-03,fallback,baseline_full_score,-0.03517047334133996,5
2023-02-16,2023-03-06,attack,tiered_liquidity_then_bs_v2,0.11121755166787164,5
2023-02-16,2023-03-06,balanced,baseline_full_dynamic_factor_industry_cap2,0.05596787130715675,5
2023-02-16,2023-03-06,defensive,baseline_full_liquidity_detail,0.04459692257741203,5
2023-02-16,2023-03-06,fallback,baseline_full_score,0.01219685957158898,5
2023-02-17,2023-03-07,attack,tiered_liquidity_then_bs_v2,0.01989912718212979,5
2023-02-17,2023-03-07,balanced,baseline_full_dynamic_factor_industry_cap2,0.031670013218562935,5
2023-02-17,2023-03-07,defensive,baseline_full_liquidity_detail,0.04995350882270429,5
2023-02-17,2023-03-07,fallback,baseline_full_score,-0.03229357521147136,5
2023-02-20,2023-03-08,attack,tiered_liquidity_then_bs_v2,0.012616544824817355,5
2023-02-20,2023-03-08,balanced,baseline_full_dynamic_factor_industry_cap2,-0.009330572173537478,5
2023-02-20,2023-03-08,defensive,baseline_full_liquidity_detail,-0.002838427569065693,5
2023-02-20,2023-03-08,fallback,baseline_full_score,-0.05442137908350248,5
2023-02-21,2023-03-09,attack,tiered_liquidity_then_bs_v2,0.0024166157807711253,5
2023-02-21,2023-03-09,balanced,baseline_full_dynamic_factor_industry_cap2,-0.013972371688093536,5
2023-02-21,2023-03-09,defensive,baseline_full_liquidity_detail,0.038590927197290445,5
2023-02-21,2023-03-09,fallback,baseline_full_score,-0.03252762277715955,5
2023-02-22,2023-03-10,attack,tiered_liquidity_then_bs_v2,-0.03193838895682686,5
2023-02-22,2023-03-10,balanced,baseline_full_dynamic_factor_industry_cap2,-0.05830197412762708,5
2023-02-22,2023-03-10,defensive,baseline_full_liquidity_detail,-0.05618066738720122,5
2023-02-22,2023-03-10,fallback,baseline_full_score,-0.02625448956957115,5
2023-02-23,2023-03-13,attack,tiered_liquidity_then_bs_v2,-0.057190863408126714,5
2023-02-23,2023-03-13,balanced,baseline_full_dynamic_factor_industry_cap2,-0.0931667904993114,5
2023-02-23,2023-03-13,defensive,baseline_full_liquidity_detail,-0.04383679134537459,5
2023-02-23,2023-03-13,fallback,baseline_full_score,-0.012217085287781248,5
2023-02-24,2023-03-14,attack,tiered_liquidity_then_bs_v2,0.017258329206592312,5
2023-02-24,2023-03-14,balanced,baseline_full_dynamic_factor_industry_cap2,-0.03159866362568784,5
2023-02-24,2023-03-14,defensive,baseline_full_liquidity_detail,-0.08427232347210034,5
2023-02-24,2023-03-14,fallback,baseline_full_score,-0.07729161503819745,5
2023-02-27,2023-03-15,attack,tiered_liquidity_then_bs_v2,0.003257893567428425,5
2023-02-27,2023-03-15,balanced,baseline_full_dynamic_factor_industry_cap2,-0.014732288887552923,5
2023-02-27,2023-03-15,defensive,baseline_full_liquidity_detail,-0.03947365612514152,5
2023-02-27,2023-03-15,fallback,baseline_full_score,-0.0619968276003525,5
2023-02-28,2023-03-16,attack,tiered_liquidity_then_bs_v2,0.006115156891384182,5
2023-02-28,2023-03-16,balanced,baseline_full_dynamic_factor_industry_cap2,0.015707986582299306,5
2023-02-28,2023-03-16,defensive,baseline_full_liquidity_detail,-0.06777135222967579,5
2023-02-28,2023-03-16,fallback,baseline_full_score,-0.08558541157973733,5
2023-03-01,2023-03-17,attack,tiered_liquidity_then_bs_v2,0.09978571021552574,5
2023-03-01,2023-03-17,balanced,baseline_full_dynamic_factor_industry_cap2,0.01836846971053079,5
2023-03-01,2023-03-17,defensive,baseline_full_liquidity_detail,-0.0732917761601873,5
2023-03-01,2023-03-17,fallback,baseline_full_score,-0.007889145044516654,5
2023-03-02,2023-03-20,attack,tiered_liquidity_then_bs_v2,0.003886710168219374,5
2023-03-02,2023-03-20,balanced,baseline_full_dynamic_factor_industry_cap2,0.08321819687591614,5
2023-03-02,2023-03-20,defensive,baseline_full_liquidity_detail,-0.03987143878564854,5
2023-03-02,2023-03-20,fallback,baseline_full_score,-0.030580962496420158,5
2023-03-03,2023-03-21,attack,tiered_liquidity_then_bs_v2,0.003378786232180863,5
2023-03-03,2023-03-21,balanced,baseline_full_dynamic_factor_industry_cap2,0.03974857048247955,5
2023-03-03,2023-03-21,defensive,baseline_full_liquidity_detail,0.01490666072535003,5
2023-03-03,2023-03-21,fallback,baseline_full_score,-0.04053798287053347,5
2023-03-06,2023-03-22,attack,tiered_liquidity_then_bs_v2,0.007050856629215807,5
2023-03-06,2023-03-22,balanced,baseline_full_dynamic_factor_industry_cap2,0.01709655378097335,5
2023-03-06,2023-03-22,defensive,baseline_full_liquidity_detail,-0.004897131574936255,5
2023-03-06,2023-03-22,fallback,baseline_full_score,-0.059547503573724646,5
2023-03-07,2023-03-23,attack,tiered_liquidity_then_bs_v2,0.007173759498818155,5
2023-03-07,2023-03-23,balanced,baseline_full_dynamic_factor_industry_cap2,-0.005309979841415992,5
2023-03-07,2023-03-23,defensive,baseline_full_liquidity_detail,0.015720098895290427,5
2023-03-07,2023-03-23,fallback,baseline_full_score,0.006842241493851264,5
2023-03-08,2023-03-24,attack,tiered_liquidity_then_bs_v2,-0.016751580245688062,5
2023-03-08,2023-03-24,balanced,baseline_full_dynamic_factor_industry_cap2,0.004384224573938768,5
2023-03-08,2023-03-24,defensive,baseline_full_liquidity_detail,-0.010294637797919523,5
2023-03-08,2023-03-24,fallback,baseline_full_score,-0.014164852821584861,5
2023-03-09,2023-03-27,attack,tiered_liquidity_then_bs_v2,-0.04485419999196452,5
2023-03-09,2023-03-27,balanced,baseline_full_dynamic_factor_industry_cap2,0.013731001186693497,5
2023-03-09,2023-03-27,defensive,baseline_full_liquidity_detail,-0.02077526343799905,5
2023-03-09,2023-03-27,fallback,baseline_full_score,-0.036988171135640104,5
2023-03-10,2023-03-28,attack,tiered_liquidity_then_bs_v2,0.039135428633812926,5
2023-03-10,2023-03-28,balanced,baseline_full_dynamic_factor_industry_cap2,-0.015755537746346325,5
2023-03-10,2023-03-28,defensive,baseline_full_liquidity_detail,-0.015755537746346325,5
2023-03-10,2023-03-28,fallback,baseline_full_score,-0.011326047155012484,5
2023-03-13,2023-03-29,attack,tiered_liquidity_then_bs_v2,0.061347293290075496,5
2023-03-13,2023-03-29,balanced,baseline_full_dynamic_factor_industry_cap2,-0.028689762409773212,5
2023-03-13,2023-03-29,defensive,baseline_full_liquidity_detail,-0.040654129238032514,5
2023-03-13,2023-03-29,fallback,baseline_full_score,0.02880583376249926,5
