signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason
2025-12-01,2025-12-02,tiered_liquidity_then_bs_v2,1,000426,兴业银锡,铅锌,75.53,0.2,0.2,0,0,,,
2025-12-01,2025-12-02,tiered_liquidity_then_bs_v2,2,002371,北方华创,半导体,71.24,0.2,0.2,0,0,,,
2025-12-01,2025-12-02,tiered_liquidity_then_bs_v2,3,300170,汉得信息,软件服务,70.69,0.2,0.2,0,0,,,
2025-12-01,2025-12-02,tiered_liquidity_then_bs_v2,4,300102,乾照光电,半导体,69.6,0.2,0.2,0,0,,,
2025-12-01,2025-12-02,tiered_liquidity_then_bs_v2,5,300677,英科医疗,医疗保健,68.87,0.2,0.2,0,0,,,
2025-12-02,2025-12-03,tiered_liquidity_then_bs_v2,1,300437,清水源,化工原料,74.88,0.2,0.0,0,1,,,
2025-12-02,2025-12-03,tiered_liquidity_then_bs_v2,2,603778,国晟科技,电气设备,72.53,0.2,0.0,0,1,,,
2025-12-02,2025-12-03,tiered_liquidity_then_bs_v2,3,000333,美的集团,家用电器,71.24,0.2,0.0,0,1,,,
2025-12-02,2025-12-03,tiered_liquidity_then_bs_v2,4,000833,粤桂股份,综合类,69.85,0.2,0.0,0,1,,,
2025-12-02,2025-12-03,tiered_liquidity_then_bs_v2,5,300300,海峡创新,软件服务,69.66,0.2,0.0,0,1,,,
2025-12-03,2025-12-04,tiered_liquidity_then_bs_v2,1,300502,新易盛,通信设备,73.01,0.2,0.0,0,1,,,
2025-12-03,2025-12-04,tiered_liquidity_then_bs_v2,2,000547,航天发展,通信设备,70.89,0.2,0.0,0,1,,,
2025-12-03,2025-12-04,tiered_liquidity_then_bs_v2,3,000333,美的集团,家用电器,70.88,0.2,0.0,0,1,,,
2025-12-03,2025-12-04,tiered_liquidity_then_bs_v2,4,600343,航天动力,机械基件,70.14,0.2,0.0,0,1,,,
2025-12-03,2025-12-04,tiered_liquidity_then_bs_v2,5,300762,上海瀚讯,通信设备,70.0,0.2,0.0,0,1,,,
2025-12-04,2025-12-05,tiered_liquidity_then_bs_v2,1,000547,航天发展,通信设备,75.96,0.2,0.0,0,1,,,
2025-12-04,2025-12-05,tiered_liquidity_then_bs_v2,2,000960,锡业股份,小金属,74.53,0.2,0.0,0,1,,,
2025-12-04,2025-12-05,tiered_liquidity_then_bs_v2,3,000408,藏格矿业,农药化肥,72.85,0.2,0.0,0,1,,,
2025-12-04,2025-12-05,tiered_liquidity_then_bs_v2,4,300394,天孚通信,通信设备,71.94,0.2,0.0,0,1,,,
2025-12-04,2025-12-05,tiered_liquidity_then_bs_v2,5,000039,中集集团,运输设备,71.37,0.2,0.0,0,1,,,
2025-12-05,2025-12-08,tiered_liquidity_then_bs_v2,1,600711,盛屯矿业,小金属,75.64,0.2,0.0,0,1,,,
2025-12-05,2025-12-08,tiered_liquidity_then_bs_v2,2,300394,天孚通信,通信设备,72.22,0.2,0.0,0,1,,,
2025-12-05,2025-12-08,tiered_liquidity_then_bs_v2,3,002028,思源电气,电气设备,71.77,0.2,0.0,0,1,,,
2025-12-05,2025-12-08,tiered_liquidity_then_bs_v2,4,000630,铜陵有色,铜,70.61,0.2,0.0,0,1,,,
2025-12-05,2025-12-08,tiered_liquidity_then_bs_v2,5,300139,晓程科技,黄金,70.32,0.2,0.0,0,1,,,
2025-12-08,2025-12-09,tiered_liquidity_then_bs_v2,1,000039,中集集团,运输设备,76.84,0.2,0.0,0,1,,,
2025-12-08,2025-12-09,tiered_liquidity_then_bs_v2,2,000878,云南铜业,铜,73.14,0.2,0.0,0,1,,,
2025-12-08,2025-12-09,tiered_liquidity_then_bs_v2,3,300548,长芯博创,通信设备,72.9,0.2,0.0,0,1,,,
2025-12-08,2025-12-09,tiered_liquidity_then_bs_v2,4,601399,国机重装,工程机械,72.46,0.2,0.0,0,1,,,
2025-12-08,2025-12-09,tiered_liquidity_then_bs_v2,5,000408,藏格矿业,农药化肥,72.45,0.2,0.0,0,1,,,
2025-12-09,2025-12-10,tiered_liquidity_then_bs_v2,1,002335,科华数据,电气设备,72.43,0.2,0.0,0,1,,,
2025-12-09,2025-12-10,tiered_liquidity_then_bs_v2,2,300502,新易盛,通信设备,72.23,0.2,0.0,0,1,,,
2025-12-09,2025-12-10,tiered_liquidity_then_bs_v2,3,002837,英维克,专用机械,72.09,0.2,0.0,0,1,,,
2025-12-09,2025-12-10,tiered_liquidity_then_bs_v2,4,603083,剑桥科技,通信设备,71.91,0.2,0.0,0,1,,,
2025-12-09,2025-12-10,tiered_liquidity_then_bs_v2,5,002600,领益智造,元器件,71.85,0.2,0.0,0,1,,,
2025-12-10,2025-12-11,tiered_liquidity_then_bs_v2,1,300395,菲利华,玻璃,76.02,0.2,0.0,0,1,,,
2025-12-10,2025-12-11,tiered_liquidity_then_bs_v2,2,002281,光迅科技,通信设备,74.04,0.2,0.0,0,1,,,
2025-12-10,2025-12-11,tiered_liquidity_then_bs_v2,3,301205,联特科技,通信设备,73.7,0.2,0.0,0,1,,,
2025-12-10,2025-12-11,tiered_liquidity_then_bs_v2,4,300502,新易盛,通信设备,73.62,0.2,0.0,0,1,,,
2025-12-10,2025-12-11,tiered_liquidity_then_bs_v2,5,300548,长芯博创,通信设备,72.75,0.2,0.0,0,1,,,
2025-12-11,2025-12-12,tiered_liquidity_then_bs_v2,1,002565,顺灏股份,造纸,73.45,0.2,0.0,0,1,,,
2025-12-11,2025-12-12,tiered_liquidity_then_bs_v2,2,002625,光启技术,航空,73.3,0.2,0.0,0,1,,,
2025-12-11,2025-12-12,tiered_liquidity_then_bs_v2,3,601869,长飞光纤,通信设备,72.71,0.2,0.0,0,1,,,
2025-12-11,2025-12-12,tiered_liquidity_then_bs_v2,4,603778,国晟科技,电气设备,72.04,0.2,0.0,0,1,,,
2025-12-11,2025-12-12,tiered_liquidity_then_bs_v2,5,600330,天通股份,专用机械,71.96,0.2,0.0,0,1,,,
2025-12-12,2025-12-15,tiered_liquidity_then_bs_v2,1,688333,铂力特,机械基件,73.95,0.2,0.0,0,1,,,
2025-12-12,2025-12-15,tiered_liquidity_then_bs_v2,2,002130,沃尔核材,电气设备,72.43,0.2,0.0,0,1,,,
2025-12-12,2025-12-15,tiered_liquidity_then_bs_v2,3,600105,永鼎股份,通信设备,72.25,0.2,0.0,0,1,,,
2025-12-12,2025-12-15,tiered_liquidity_then_bs_v2,4,301117,佳缘科技,软件服务,71.98,0.2,0.0,0,1,,,
2025-12-12,2025-12-15,tiered_liquidity_then_bs_v2,5,002384,东山精密,元器件,71.7,0.2,0.0,0,1,,,
2025-12-15,2025-12-16,tiered_liquidity_then_bs_v2,1,300136,信维通信,元器件,74.9,0.2,0.2,0,0,,,
2025-12-15,2025-12-16,tiered_liquidity_then_bs_v2,2,603650,彤程新材,化工原料,74.29,0.2,0.2,0,0,,,
2025-12-15,2025-12-16,tiered_liquidity_then_bs_v2,3,000859,国风新材,塑料,72.87,0.2,0.2,0,0,,,
2025-12-15,2025-12-16,tiered_liquidity_then_bs_v2,4,002202,金风科技,电气设备,71.33,0.2,0.2,0,0,,,
2025-12-15,2025-12-16,tiered_liquidity_then_bs_v2,5,002565,顺灏股份,造纸,70.84,0.2,0.2,0,0,,,
2025-12-16,2025-12-17,tiered_liquidity_then_bs_v2,1,300377,赢时胜,软件服务,73.79,0.2,0.0,0,1,,,
2025-12-16,2025-12-17,tiered_liquidity_then_bs_v2,2,600693,东百集团,百货,73.03,0.2,0.0,0,1,,,
2025-12-16,2025-12-17,tiered_liquidity_then_bs_v2,3,000592,平潭发展,林业,72.7,0.2,0.0,0,1,,,
2025-12-16,2025-12-17,tiered_liquidity_then_bs_v2,4,000657,中钨高新,小金属,72.38,0.2,0.0,0,1,,,
2025-12-16,2025-12-17,tiered_liquidity_then_bs_v2,5,601698,中国卫通,电信运营,70.8,0.2,0.0,0,1,,,
2025-12-17,2025-12-18,tiered_liquidity_then_bs_v2,1,600549,厦门钨业,小金属,73.25,0.2,0.0,0,1,,,
2025-12-17,2025-12-18,tiered_liquidity_then_bs_v2,2,000408,藏格矿业,农药化肥,73.15,0.2,0.0,0,1,,,
2025-12-17,2025-12-18,tiered_liquidity_then_bs_v2,3,000100,TCL科技,元器件,72.93,0.2,0.0,0,1,,,
2025-12-17,2025-12-18,tiered_liquidity_then_bs_v2,4,000657,中钨高新,小金属,72.28,0.2,0.0,0,1,,,
2025-12-17,2025-12-18,tiered_liquidity_then_bs_v2,5,601601,中国太保,保险,71.87,0.2,0.0,0,1,,,
2025-12-18,2025-12-19,tiered_liquidity_then_bs_v2,1,002837,英维克,专用机械,72.38,0.2,0.0,0,1,,,
2025-12-18,2025-12-19,tiered_liquidity_then_bs_v2,2,600151,航天机电,汽车配件,72.29,0.2,0.0,0,1,,,
2025-12-18,2025-12-19,tiered_liquidity_then_bs_v2,3,600522,中天科技,通信设备,71.19,0.2,0.0,0,1,,,
2025-12-18,2025-12-19,tiered_liquidity_then_bs_v2,4,002536,飞龙股份,汽车配件,71.05,0.2,0.0,0,1,,,
2025-12-18,2025-12-19,tiered_liquidity_then_bs_v2,5,002555,三七互娱,互联网,70.57,0.2,0.0,0,1,,,
2025-12-19,2025-12-22,tiered_liquidity_then_bs_v2,1,000960,锡业股份,小金属,73.08,0.2,0.0,0,1,,,
2025-12-19,2025-12-22,tiered_liquidity_then_bs_v2,2,300446,航天智造,汽车配件,71.74,0.2,0.0,0,1,,,
2025-12-19,2025-12-22,tiered_liquidity_then_bs_v2,3,000807,云铝股份,铝,71.67,0.2,0.0,0,1,,,
2025-12-19,2025-12-22,tiered_liquidity_then_bs_v2,4,300516,久之洋,电器仪表,71.28,0.2,0.0,0,1,,,
2025-12-19,2025-12-22,tiered_liquidity_then_bs_v2,5,000408,藏格矿业,农药化肥,70.91,0.2,0.0,0,1,,,
2025-12-22,2025-12-23,tiered_liquidity_then_bs_v2,1,300548,长芯博创,通信设备,72.96,0.2,0.0,0,1,,,
2025-12-22,2025-12-23,tiered_liquidity_then_bs_v2,2,603596,伯特利,汽车配件,72.63,0.2,0.0,0,1,,,
2025-12-22,2025-12-23,tiered_liquidity_then_bs_v2,3,000510,新金路,化工原料,71.38,0.2,0.0,0,1,,,
2025-12-22,2025-12-23,tiered_liquidity_then_bs_v2,4,301600,慧翰股份,通信设备,70.63,0.2,0.0,0,1,,,
2025-12-22,2025-12-23,tiered_liquidity_then_bs_v2,5,600522,中天科技,通信设备,70.14,0.2,0.0,0,1,,,
2025-12-23,2025-12-24,tiered_liquidity_then_bs_v2,1,600711,盛屯矿业,小金属,74.64,0.2,0.0,0,1,,,
2025-12-23,2025-12-24,tiered_liquidity_then_bs_v2,2,000975,山金国际,黄金,74.12,0.2,0.0,0,1,,,
2025-12-23,2025-12-24,tiered_liquidity_then_bs_v2,3,301600,慧翰股份,通信设备,73.41,0.2,0.0,0,1,,,
2025-12-23,2025-12-24,tiered_liquidity_then_bs_v2,4,601318,中国平安,保险,72.62,0.2,0.0,0,1,,,
2025-12-23,2025-12-24,tiered_liquidity_then_bs_v2,5,301069,凯盛新材,化工原料,72.34,0.2,0.0,0,1,,,
2025-12-24,2025-12-25,tiered_liquidity_then_bs_v2,1,601126,四方股份,电气设备,74.14,0.2,0.0,0,1,,,
2025-12-24,2025-12-25,tiered_liquidity_then_bs_v2,2,300223,北京君正,半导体,72.77,0.2,0.0,0,1,,,
2025-12-24,2025-12-25,tiered_liquidity_then_bs_v2,3,000547,航天发展,通信设备,71.97,0.2,0.0,0,1,,,
2025-12-24,2025-12-25,tiered_liquidity_then_bs_v2,4,603083,剑桥科技,通信设备,71.26,0.2,0.0,0,1,,,
2025-12-24,2025-12-25,tiered_liquidity_then_bs_v2,5,300136,信维通信,元器件,70.99,0.2,0.0,1,0,,,
2025-12-25,2025-12-26,tiered_liquidity_then_bs_v2,1,002171,楚江新材,铜,73.72,0.2,0.0,0,1,,,
2025-12-25,2025-12-26,tiered_liquidity_then_bs_v2,2,300223,北京君正,半导体,73.35,0.2,0.0,0,1,,,
2025-12-25,2025-12-26,tiered_liquidity_then_bs_v2,3,601126,四方股份,电气设备,72.71,0.2,0.0,0,1,,,
2025-12-25,2025-12-26,tiered_liquidity_then_bs_v2,4,601601,中国太保,保险,72.44,0.2,0.0,0,1,,,
2025-12-25,2025-12-26,tiered_liquidity_then_bs_v2,5,300118,东方日升,电气设备,71.94,0.2,0.0,0,1,,,
2025-12-26,2025-12-29,tiered_liquidity_then_bs_v2,1,601611,中国核建,建筑工程,75.32,0.2,0.0,0,1,,,
2025-12-26,2025-12-29,tiered_liquidity_then_bs_v2,2,002083,孚日股份,纺织,75.12,0.2,0.0,0,1,,,
2025-12-26,2025-12-29,tiered_liquidity_then_bs_v2,3,002202,金风科技,电气设备,73.47,0.2,0.0,1,0,,,
2025-12-26,2025-12-29,tiered_liquidity_then_bs_v2,4,603698,航天工程,专用机械,73.41,0.2,0.0,0,1,,,
2025-12-26,2025-12-29,tiered_liquidity_then_bs_v2,5,000807,云铝股份,铝,73.34,0.2,0.0,0,1,,,
2025-12-29,2025-12-30,tiered_liquidity_then_bs_v2,1,300337,银邦股份,铝,73.39,0.2,0.2,0,0,,,
