signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count
2025-12-01,2025-12-15,attack,tiered_liquidity_then_bs_v2,0.011635400945072542,5
2025-12-01,2025-12-15,balanced,baseline_full_dynamic_factor_industry_cap2,0.05942760382876744,5
2025-12-01,2025-12-15,defensive,baseline_full_liquidity_detail,-0.034348107116806165,5
2025-12-01,2025-12-15,fallback,baseline_full_score,0.002311758545788953,5
2025-12-02,2025-12-16,attack,tiered_liquidity_then_bs_v2,-0.1259133438597848,5
2025-12-02,2025-12-16,balanced,baseline_full_dynamic_factor_industry_cap2,0.06878614618240517,5
2025-12-02,2025-12-16,defensive,baseline_full_liquidity_detail,-0.04812208922903716,5
2025-12-02,2025-12-16,fallback,baseline_full_score,0.06787496283852106,5
2025-12-03,2025-12-17,attack,tiered_liquidity_then_bs_v2,0.21560529769259607,5
2025-12-03,2025-12-17,balanced,baseline_full_dynamic_factor_industry_cap2,0.18629059946553422,5
2025-12-03,2025-12-17,defensive,baseline_full_liquidity_detail,0.0154237855821296,5
2025-12-03,2025-12-17,fallback,baseline_full_score,0.07781535908885787,5
2025-12-04,2025-12-18,attack,tiered_liquidity_then_bs_v2,0.08414684327489282,5
2025-12-04,2025-12-18,balanced,baseline_full_dynamic_factor_industry_cap2,0.052463409232801725,5
2025-12-04,2025-12-18,defensive,baseline_full_liquidity_detail,-0.017846626577165584,5
2025-12-04,2025-12-18,fallback,baseline_full_score,0.0625790383971985,5
2025-12-05,2025-12-19,attack,tiered_liquidity_then_bs_v2,-0.006204205512876967,5
2025-12-05,2025-12-19,balanced,baseline_full_dynamic_factor_industry_cap2,0.028835537664360776,5
2025-12-05,2025-12-19,defensive,baseline_full_liquidity_detail,0.011576871788996624,5
2025-12-05,2025-12-19,fallback,baseline_full_score,0.06879981118880021,5
2025-12-08,2025-12-22,attack,tiered_liquidity_then_bs_v2,0.09983615815466838,5
2025-12-08,2025-12-22,balanced,baseline_full_dynamic_factor_industry_cap2,0.019860511224343853,5
2025-12-08,2025-12-22,defensive,baseline_full_liquidity_detail,0.07889815165668057,5
2025-12-08,2025-12-22,fallback,baseline_full_score,0.04043322719896994,5
2025-12-09,2025-12-23,attack,tiered_liquidity_then_bs_v2,0.08259599085928959,5
2025-12-09,2025-12-23,balanced,baseline_full_dynamic_factor_industry_cap2,0.007239226292153435,5
2025-12-09,2025-12-23,defensive,baseline_full_liquidity_detail,-0.020870826813971365,5
2025-12-09,2025-12-23,fallback,baseline_full_score,-0.03430925690918102,5
2025-12-10,2025-12-24,attack,tiered_liquidity_then_bs_v2,0.13284249252292807,5
2025-12-10,2025-12-24,balanced,baseline_full_dynamic_factor_industry_cap2,-0.0722602345666846,5
2025-12-10,2025-12-24,defensive,baseline_full_liquidity_detail,0.004265578769249579,5
2025-12-10,2025-12-24,fallback,baseline_full_score,-0.08895069615710155,5
2025-12-11,2025-12-25,attack,tiered_liquidity_then_bs_v2,0.10766932240721189,5
2025-12-11,2025-12-25,balanced,baseline_full_dynamic_factor_industry_cap2,0.02570743578578112,5
