strategy,window,requested_window,requested_window_days,actual_start,actual_end,actual_trading_days,coverage_ratio,coverage_status,window_start,window_end,trading_days,initial_cash,window_start_equity,window_end_equity,total_return,max_drawdown,annualized_volatility,daily_win_rate,avg_gross_exposure,avg_position_count
vls_mom_contrarian_v1_frozen,3m,3m,63,2026-04-30,2026-07-31,63,1.0,PASS,2026-04-30,2026-07-31,63,500000.0,682807.3372182504,560588.5697632504,-0.17899451396190014,-0.2640833004463278,0.24875113402569127,0.42857142857142855,0.9703576706325737,10.0
vls_mom_contrarian_v1_frozen,6m,6m,126,2026-02-02,2026-07-31,119,0.9444444444444444,PASS,2026-02-02,2026-07-31,119,500000.0,710979.4356272504,560588.5697632504,-0.21152632316477615,-0.30547174194759674,0.2514628678638281,0.453781512605042,0.9657664309643207,10.0
vls_mom_contrarian_v1_frozen,1y,1y,252,2025-07-31,2026-07-31,243,0.9642857142857143,PASS,2025-07-31,2026-07-31,243,500000.0,623827.7453015002,560588.5697632504,-0.10137281647786578,-0.30547174194759674,0.22369597625579016,0.5473251028806584,0.9523274526091526,10.0
vls_mom_contrarian_v1_frozen,3y,3y,756,2025-01-03,2026-07-31,381,0.503968253968254,INSUFFICIENT_COVERAGE,2025-01-03,2026-07-31,381,500000.0,500000.0,560588.5697632504,0.12117713952650089,-0.30547174194759663,0.22762278167323166,0.5354330708661418,0.9040428807292202,9.553805774278215
