strategy,strategy_display_name,trade_date,ts_code,stock_name,side,price,current_shares,target_shares,delta_shares,allocated_shares,current_weight,target_weight,delta_weight,note,base_strategy,hold_days,position_ratio
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-29,300398,飞凯材料,BUY,64.26,0,200,200,200,0.0,0.027999999999999994,0.027999999999999994,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-29,600667,太极实业,BUY,29.0,0,400,400,400,0.0,0.027999999999999994,0.027999999999999994,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,2026-06-29,603259,药明康德,BUY,126.17,0,100,100,100,0.0,0.027999999999999994,0.027999999999999994,trusted_strategy:tiered_liquidity_then_bs_v2; hold_gate=10d; max_positions=5,tiered_liquidity_then_bs_v2,10,0.13999999999999999
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-29,000021,深科技,BUY,58.86,0,1100,1100,1100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-29,300373,扬杰科技,BUY,149.95,0,400,400,400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-29,688012,中微公司,BUY,456.69,0,100,100,100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail,流动性质量防守策略,2026-06-29,688110,东芯股份,BUY,193.3,0,300,300,300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail,10,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-29,000021,深科技,BUY,58.86,0,1100,1100,1100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-29,300373,扬杰科技,BUY,149.95,0,400,400,400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-29,688012,中微公司,BUY,456.69,0,100,100,100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,2026-06-29,688110,东芯股份,BUY,193.3,0,300,300,300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hold12_shadow; hold_gate=12d; max_positions=5,baseline_full_liquidity_detail,12,0.7
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-29,000021,深科技,BUY,58.86,0,800,800,800,0.0,0.09999999999999999,0.09999999999999999,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-29,300373,扬杰科技,BUY,149.95,0,300,300,300,0.0,0.09999999999999999,0.09999999999999999,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-29,688012,中微公司,BUY,456.69,0,100,100,100,0.0,0.09999999999999999,0.09999999999999999,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,2026-06-29,688110,东芯股份,BUY,193.3,0,200,200,200,0.0,0.09999999999999999,0.09999999999999999,trusted_strategy:baseline_full_liquidity_detail_market_gate_pos50_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_market_gate,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-29,000725,京东方Ａ,BUY,7.95,0,7700,7700,7700,0.0,0.12264150943396228,0.12264150943396228,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,2026-06-29,600487,亨通光电,BUY,107.7766,0,400,400,400,0.0,0.09433962264150944,0.09433962264150944,trusted_strategy:baseline_full_liquidity_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity,10,0.5
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-29,000021,深科技,BUY,58.86,0,1200,1200,1200,0.0,0.1415296263932739,0.1415296263932739,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-29,300373,扬杰科技,BUY,149.95,0,400,400,400,0.0,0.12357907774721832,0.12357907774721832,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-29,688012,中微公司,BUY,456.69,0,100,100,100,0.0,0.16074705566264955,0.16074705566264955,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,2026-06-29,688110,东芯股份,BUY,193.3,0,300,300,300,0.0,0.1472450021730696,0.1472450021730696,trusted_strategy:baseline_full_liquidity_detail_vol_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_vol_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-29,000021,深科技,BUY,58.86,0,1100,1100,1100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-29,300373,扬杰科技,BUY,149.95,0,400,400,400,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-29,688012,中微公司,BUY,456.69,0,100,100,100,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,2026-06-29,688110,东芯股份,BUY,193.3,0,300,300,300,0.0,0.13999999999999999,0.13999999999999999,trusted_strategy:baseline_full_liquidity_detail_hist_mdd_position_shadow; hold_gate=10d; max_positions=5,baseline_full_liquidity_detail_hist_mdd_position,10,0.7
