order_id,fill_id,execution_date,execution_sequence,signal_date,symbol,side,order_reason,shares_requested,shares_filled,shares_unfilled,execution_price,notional,commission,stamp_tax,slippage,total_cost,cash_before,cash_delta,cash_after,shares_before,shares_after,market_value_before,market_value_after,equity_before,equity_after,tradable,limit_blocked,suspended,risk_state,target_exposure,strategy_label,cost_scenario
435,435,2025-09-15,1,2025-09-12,002594,SELL,HOLD_EXPIRY,600,600,0,106.0,63600.0,47.7,0.0,0.0,47.7,302873.86,63552.3,366426.16,600,0,143015.0,79415.0,445888.86,445841.16,True,False,False,True,0.4,B2_base,c0.00075_s0.0
436,436,2025-09-15,2,2025-09-12,002475,BUY,TARGET_REBALANCE,1100,1100,0,52.3036,57533.96,43.15047,0.0,0.0,43.15047,366426.16,-57577.11,308849.05,0,1100,79415.0,136769.0,445841.16,445618.05,True,False,False,True,0.4,B2_base,c0.00075_s0.0
437,437,2025-09-15,3,2025-09-12,601138,BUY,TARGET_REBALANCE,600,600,0,60.3293,36197.58,27.148185,0.0,0.0,27.148185,308849.05,-36224.73,272624.33,0,600,136769.0,172769.0,445618.05,445393.33,True,False,False,True,0.4,B2_base,c0.00075_s0.0
438,438,2025-09-23,1,2025-09-22,300274,SELL,HOLD_EXPIRY,200,200,0,138.759,27751.8,20.81385,0.0,0.0,20.81385,272624.33,27730.99,300355.31,200,0,199852.0,172412.0,472476.33,472767.31,True,False,False,True,0.4,B2_base,c0.00075_s0.0
439,439,2025-09-23,2,2025-09-22,300620,BUY,TARGET_REBALANCE,100,100,0,138.1064,13810.64,10.35798,0.0,0.0,10.35798,300355.31,-13821.0,286534.31,0,100,172412.0,186212.0,472767.31,472746.31,True,False,False,True,0.4,B2_base,c0.00075_s0.0
440,440,2025-09-24,1,2025-09-23,002074,SELL,HOLD_EXPIRY,500,500,0,43.88,21940.0,16.455,0.0,0.0,16.455,286534.31,21923.54,308457.86,500,0,178245.0,156305.0,464779.31,464762.86,True,False,False,True,0.4,B2_base,c0.00075_s0.0
441,441,2025-09-24,2,2025-09-23,002938,BUY,TARGET_REBALANCE,400,400,0,62.315,24926.0,18.6945,0.0,0.0,18.6945,308457.86,-24944.69,283513.16,0,400,156305.0,180997.0,464762.86,464510.16,True,False,False,True,0.4,B2_base,c0.00075_s0.0
442,442,2025-09-25,1,2025-09-24,002460,SELL,HOLD_EXPIRY,600,600,0,55.5,33300.0,24.975,0.0,0.0,24.975,283513.16,33275.03,316788.19,600,0,187010.0,153710.0,470523.16,470498.19,True,False,False,True,0.4,B2_base,c0.00075_s0.0
443,443,2025-09-25,2,2025-09-24,688008,BUY,TARGET_REBALANCE,200,200,0,133.3441,26668.82,20.001615,0.0,0.0,20.001615,316788.19,-26688.82,290099.37,0,200,153710.0,180340.0,470498.19,470439.37,True,False,False,True,0.4,B2_base,c0.00075_s0.0
444,444,2025-09-29,1,2025-09-26,002475,SELL,HOLD_EXPIRY,1100,1100,0,64.4516,70896.76,53.17257,0.0,0.0,53.17257,290099.37,70843.59,360942.95,1100,0,170585.0,99910.0,460684.37,460852.95,True,False,False,True,0.4,B2_base,c0.00075_s0.0
445,445,2025-09-29,2,2025-09-26,601138,SELL,HOLD_EXPIRY,600,600,0,65.2059,39123.54,29.342655,0.0,0.0,29.342655,360942.95,39094.2,400037.15,600,0,99910.0,61000.0,460852.95,461037.15,True,False,False,True,0.4,B2_base,c0.00075_s0.0
